01tech.team.	3600	in	ns	ns1.pananames.com.
01tech.team.	3600	in	ns	ns2.pananames.com.
01tech.team.	3600	in	ns	ns3.pananames.com.
01tech.team.	3600	in	ns	ns4.pananames.com.
020ldqns5c4hr6fafi5ge0h9b3rvdgpa.team.	3600	in	nsec3	1 1 0 73 020RHT4470GG292R1821HI3U57NLH67N NS DS RRSIG
020ldqns5c4hr6fafi5ge0h9b3rvdgpa.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. fgR+pF66uIHbKlU1ripKh+vGRz4cKMvOyZO7kFE9JOk1Q6b1BzUL6b4sA2qljQS8FzDS0vIG5kOLwSLm+tOELiypKM71rn/fonidwLih3+FJzW9wBYVwfbz1ue1roduoWvm9If5oAcyaoy2zBPjqkGoFU07utaYdH1SyIRaR3as=
020rht4470gg292r1821hi3u57nlh67n.team.	3600	in	nsec3	1 1 0 73 026VF67L8019OCAUAK8QL7106CRP6F2R NS DS RRSIG
020rht4470gg292r1821hi3u57nlh67n.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. kMBEcF9urpC0iU7l9VCEACfbImd1ptKCCgXprxhL0rR7DoyAErlaOOma+73bs9p4gvWFqx51nWvuSvBOEfpSVz3BHW2LBGsBhzdy+NQrnbL59xYpAkIKHg1I0/4mTANkdccUNHrUQsU9qNIs+idNLsmWL9zHg83c9FPBOEO/QbI=
021.team.	3600	in	ns	ns77.domaincontrol.com.
021.team.	3600	in	ns	ns78.domaincontrol.com.
026vf67l8019ocauak8ql7106crp6f2r.team.	3600	in	nsec3	1 1 0 73 027C7CPGUG5HKTFM3DE3KS7OSQM28662 NS DS RRSIG
026vf67l8019ocauak8ql7106crp6f2r.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. NQTZXRsWAYXzqb9hqxWstZr7MLFZGq/X5Hs7EJ2mbEwIJ9ANya2OpRwqAmw+U8DiRDzdVr7Cy+ZRDy4JahYqAhfqWv1YVQjiB/sP9XSHG2cefWvMJQtxiKvZw3IP4wywsnJzMpoC5m4ZC3mSSgJ7cHjXI2sIvgHP9CtT+KopyNM=
027c7cpgug5hktfm3de3ks7osqm28662.team.	3600	in	nsec3	1 1 0 73 02EC0GI7H72LHNO60O3GQMOH2HUQCE5F NS DS RRSIG
027c7cpgug5hktfm3de3ks7osqm28662.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. ioRq2a6q6AbyL1Hf171hr/Q5AW/z+KEN94JmbLMPIrRQDcihQD88V9rJQyfn4r69ugVn12b6Bn2crvESm3ujfEvUwsqaJaEPu2YsphegU2SUmfq66ky2QfSrefTYA07TVmkYkxCBveCFdHy2Hf2bFWHhsv7ZrkDzXdwLzM0i2cs=
0285.team.	3600	in	ns	dns17.hichina.com.
0285.team.	3600	in	ns	dns18.hichina.com.
02ec0gi7h72lhno60o3gqmoh2huqce5f.team.	3600	in	nsec3	1 1 0 73 02F5HD6EP7IG93M8D15V0S90K1LU8OG0 NS DS RRSIG
02ec0gi7h72lhno60o3gqmoh2huqce5f.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. SeE1Q9zsaHqrucLjYpZair+1TgU6QIyTzv//zBd3frurj7VPpKyUz4Q4/NtVP9E/oL1k+LAvO1LBxjeEgvsok/ZDI337saQ8whHlaw3XU+Gq0HxSDM6fCwsbxat+/YvjTdI1tO4pzDZR0Dh3sMbBV/emJLxnEJStOfwsxnWQZ68=
02f5hd6ep7ig93m8d15v0s90k1lu8og0.team.	3600	in	nsec3	1 1 0 73 02MDA65SJNR7TK5MRDH9KSIA5SQ8IJLS NS DS RRSIG
02f5hd6ep7ig93m8d15v0s90k1lu8og0.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. KCyjR9V54xJPk/D4EdO9tHEvYBhKaRSVowpSlcazsAN/Rlh4WeGL6oLM7RSwHbIC1XzuuTbwp+HSYa9EA7SoVhuqmK/fFoCdfN1aSVKYiqUtomzDEnlo/CSN33QLeU72AHOww8JJjpuP7zHxzoT/YZ2ly/M5Eqr3EZM/KWXKxt4=
02mda65sjnr7tk5mrdh9ksia5sq8ijls.team.	3600	in	nsec3	1 1 0 73 02S3DFS1O7LQRSP3S8KBIO4GU754S3UP NS DS RRSIG
02mda65sjnr7tk5mrdh9ksia5sq8ijls.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. PMKQbNXzEJjiS+LaYV74tkhWG9skWwxQd6NwxUj1GWra9H19uRrZnpJ/6GUmFjHjhOzbW65d1yOlHqEOk3twuUOKhQLOehZ5AGJs0QPMoH+jmV/askmoa3Eai3ryjvOtGrFHRtiFuGe2ESXtLa2+Gznnf7dpVcSCif4EQ+eyl6A=
02s3dfs1o7lqrsp3s8kbio4gu754s3up.team.	3600	in	nsec3	1 1 0 73 02VASK2091JJU8GD84RAUQ5LRLAF3AL3 NS DS RRSIG
02s3dfs1o7lqrsp3s8kbio4gu754s3up.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. QC2J63Y+nuNt5H6EFbOW9d/r4oMegCxUjW2U8ib8xmC3FLjv1wYP3qS2j0koa1WM+k1uQxgE5tu4zerbi4XkEFvZ5ZxBRTlkIGiZUR0Zh52Ldw7a4evCYffccjFdQHzUhuzhUlDjyj2zjM0zZ53o9tJ/MrB0IvjQ8xh/2F41l8k=
