04468.poker.	3600	in	ns	ns1.dyna-ns.net.
04468.poker.	3600	in	ns	ns2.dyna-ns.net.
04478.poker.	3600	in	ns	ns1.dyna-ns.net.
04478.poker.	3600	in	ns	ns2.dyna-ns.net.
04645.poker.	3600	in	ns	ns1.dyna-ns.net.
04645.poker.	3600	in	ns	ns2.dyna-ns.net.
04857.poker.	3600	in	ns	ns1.dyna-ns.net.
04857.poker.	3600	in	ns	ns2.dyna-ns.net.
048858.poker.	3600	in	ns	expire1.gname-dns.com.
048858.poker.	3600	in	ns	expire2.gname-dns.com.
04989.poker.	3600	in	ns	ns1.dyna-ns.net.
04989.poker.	3600	in	ns	ns2.dyna-ns.net.
05297.poker.	3600	in	ns	ns1.dyna-ns.net.
05297.poker.	3600	in	ns	ns2.dyna-ns.net.
053422.poker.	3600	in	ns	ns1.dyna-ns.net.
053422.poker.	3600	in	ns	ns2.dyna-ns.net.
05494.poker.	3600	in	ns	ns1.dyna-ns.net.
05494.poker.	3600	in	ns	ns2.dyna-ns.net.
05502.poker.	3600	in	ns	ns1.dyna-ns.net.
05502.poker.	3600	in	ns	ns2.dyna-ns.net.
05508.poker.	3600	in	ns	n1.xundns.com.
05508.poker.	3600	in	ns	n2.xundns.com.
05509.poker.	3600	in	ns	n1.xundns.com.
05509.poker.	3600	in	ns	n2.xundns.com.
05521.poker.	3600	in	ns	ns1.dyna-ns.net.
05521.poker.	3600	in	ns	ns2.dyna-ns.net.
05710.poker.	3600	in	ns	ns1.dyna-ns.net.
05710.poker.	3600	in	ns	ns2.dyna-ns.net.
05851.poker.	3600	in	ns	ns1.dyna-ns.net.
05851.poker.	3600	in	ns	ns2.dyna-ns.net.
05979.poker.	3600	in	ns	ns1.dyna-ns.net.
05979.poker.	3600	in	ns	ns2.dyna-ns.net.
06003.poker.	3600	in	ns	ns1.dyna-ns.net.
06003.poker.	3600	in	ns	ns2.dyna-ns.net.
0605test01.poker.	3600	in	ns	ns1.qq.com.
0605test01.poker.	3600	in	ns	ns11.qq.com.
06178.poker.	3600	in	ns	ns1.dyna-ns.net.
06178.poker.	3600	in	ns	ns2.dyna-ns.net.
06412.poker.	3600	in	ns	ns1.dyna-ns.net.
06412.poker.	3600	in	ns	ns2.dyna-ns.net.
064434.poker.	3600	in	ns	ns1.dyna-ns.net.
064434.poker.	3600	in	ns	ns2.dyna-ns.net.
066163.poker.	3600	in	ns	ns1.dyna-ns.net.
066163.poker.	3600	in	ns	ns2.dyna-ns.net.
068211.poker.	3600	in	ns	ns1.dyna-ns.net.
068211.poker.	3600	in	ns	ns2.dyna-ns.net.
068321.poker.	3600	in	ns	ns1.dyna-ns.net.
068321.poker.	3600	in	ns	ns2.dyna-ns.net.
06873.poker.	3600	in	ns	ns1.dyna-ns.net.
06873.poker.	3600	in	ns	ns2.dyna-ns.net.
07065.poker.	3600	in	ns	ns1.dyna-ns.net.
07065.poker.	3600	in	ns	ns2.dyna-ns.net.
071658.poker.	3600	in	ns	ns1.dyna-ns.net.
071658.poker.	3600	in	ns	ns2.dyna-ns.net.
072289.poker.	3600	in	ns	ns1.dyna-ns.net.
072289.poker.	3600	in	ns	ns2.dyna-ns.net.
07244.poker.	3600	in	ns	ns1.dyna-ns.net.
07244.poker.	3600	in	ns	ns2.dyna-ns.net.
072962.poker.	3600	in	ns	ns1.dyna-ns.net.
072962.poker.	3600	in	ns	ns2.dyna-ns.net.
07317.poker.	3600	in	ns	ns1.dyna-ns.net.
07317.poker.	3600	in	ns	ns2.dyna-ns.net.
074014.poker.	3600	in	ns	ns1.dyna-ns.net.
074014.poker.	3600	in	ns	ns2.dyna-ns.net.
077379.poker.	3600	in	ns	ns1.dyna-ns.net.
077379.poker.	3600	in	ns	ns2.dyna-ns.net.
077728.poker.	3600	in	ns	ns1.dyna-ns.net.
077728.poker.	3600	in	ns	ns2.dyna-ns.net.
07796.poker.	3600	in	ns	ns1.dyna-ns.net.
07796.poker.	3600	in	ns	ns2.dyna-ns.net.
080153.poker.	3600	in	ns	ns1.dyna-ns.net.
080153.poker.	3600	in	ns	ns2.dyna-ns.net.
08095.poker.	3600	in	ns	ns1.dyna-ns.net.
08095.poker.	3600	in	ns	ns2.dyna-ns.net.
08131.poker.	3600	in	ns	ns1.dyna-ns.net.
08131.poker.	3600	in	ns	ns2.dyna-ns.net.
081356.poker.	3600	in	ns	ns1.dyna-ns.net.
081356.poker.	3600	in	ns	ns2.dyna-ns.net.
081459.poker.	3600	in	ns	ns1.dyna-ns.net.
081459.poker.	3600	in	ns	ns2.dyna-ns.net.
08160.poker.	3600	in	ns	ns1.dyna-ns.net.
08160.poker.	3600	in	ns	ns2.dyna-ns.net.
08184.poker.	3600	in	ns	ns1.dyna-ns.net.
08184.poker.	3600	in	ns	ns2.dyna-ns.net.
08195.poker.	3600	in	ns	ns1.dyna-ns.net.
08195.poker.	3600	in	ns	ns2.dyna-ns.net.
08269.poker.	3600	in	ns	ns1.dyna-ns.net.
08269.poker.	3600	in	ns	ns2.dyna-ns.net.
08320.poker.	3600	in	ns	ns1.dyna-ns.net.
08320.poker.	3600	in	ns	ns2.dyna-ns.net.
084529.poker.	3600	in	ns	ns1.dyna-ns.net.
084529.poker.	3600	in	ns	ns2.dyna-ns.net.
086393.poker.	3600	in	ns	ns1.dyna-ns.net.
086393.poker.	3600	in	ns	ns2.dyna-ns.net.
086772.poker.	3600	in	ns	ns1.dyna-ns.net.
086772.poker.	3600	in	ns	ns2.dyna-ns.net.
08685.poker.	3600	in	ns	ns1.dyna-ns.net.
08685.poker.	3600	in	ns	ns2.dyna-ns.net.
08771.poker.	3600	in	ns	grannbo.ns.cloudflare.com.
08771.poker.	3600	in	ns	norm.ns.cloudflare.com.
089975.poker.	3600	in	ns	ns1.dyna-ns.net.
089975.poker.	3600	in	ns	ns2.dyna-ns.net.
092292.poker.	3600	in	ns	ns1.dyna-ns.net.
092292.poker.	3600	in	ns	ns2.dyna-ns.net.
09245.poker.	3600	in	ns	ns1.dyna-ns.net.
09245.poker.	3600	in	ns	ns2.dyna-ns.net.
09383.poker.	3600	in	ns	ns1.dyna-ns.net.
09383.poker.	3600	in	ns	ns2.dyna-ns.net.
094047.poker.	3600	in	ns	ns1.dyna-ns.net.
094047.poker.	3600	in	ns	ns2.dyna-ns.net.
09429.poker.	3600	in	ns	ns1.dyna-ns.net.
09429.poker.	3600	in	ns	ns2.dyna-ns.net.
09476.poker.	3600	in	ns	ns1.dyna-ns.net.
09476.poker.	3600	in	ns	ns2.dyna-ns.net.
09488.poker.	3600	in	ns	ns1.dyna-ns.net.
09488.poker.	3600	in	ns	ns2.dyna-ns.net.
09548.poker.	3600	in	ns	ns1.dyna-ns.net.
09548.poker.	3600	in	ns	ns2.dyna-ns.net.
09619.poker.	3600	in	ns	ns1.dyna-ns.net.
09619.poker.	3600	in	ns	ns2.dyna-ns.net.
09775.poker.	3600	in	ns	ns1.dyna-ns.net.
09775.poker.	3600	in	ns	ns2.dyna-ns.net.
09874.poker.	3600	in	ns	ns1.dyna-ns.net.
09874.poker.	3600	in	ns	ns2.dyna-ns.net.
09892.poker.	3600	in	ns	ns1.dyna-ns.net.
09892.poker.	3600	in	ns	ns2.dyna-ns.net.
099137.poker.	3600	in	ns	ns1.dyna-ns.net.
099137.poker.	3600	in	ns	ns2.dyna-ns.net.
0h7qmqhkn5a4mrb9u1hmkv1kk9ovtm1e.poker.	3600	in	nsec3	1 1 0 73 0LJTNABQ9QV6VMO8CRDQNCLTV6AD1CID NS DS RRSIG
0h7qmqhkn5a4mrb9u1hmkv1kk9ovtm1e.poker.	3600	in	rrsig	NSEC3 8 2 3600 20260122155517 20260101145517 58953 poker. BBjJA6crg6luqb/dLNwps9JbJhAFiZ/cy67MRKf25m8x0pMrMD7ARVn9aFQIVXhpTmYSMGdR63fzyaMOnsFejanjYFQDUvuIcHioKli4kGsyu1rrni4fgFysQPCddLCQ/kK2+4tSZn8h7F3SlQQuw7Nc6Inj+HhrEt9hGjmZEWQ=
0ljtnabq9qv6vmo8crdqncltv6ad1cid.poker.	3600	in	nsec3	1 1 0 73 0TKH62U5CM96NB43MV8767JIN6RULEEH NS DS RRSIG
0ljtnabq9qv6vmo8crdqncltv6ad1cid.poker.	3600	in	rrsig	NSEC3 8 2 3600 20260122155517 20260101145517 58953 poker. RSSb7U7T46EXHeFDlc6vSUVnR7S/iPDDvGeFlUIZOaT2zD9zgGSb4lUIT0e9Rv8FRxP32CUHP/LCmAnzAdk7ncD/deouRkYCxVzFco+9k3bQvVihAKwxv5sGtfUMq1b+1n5B6TQES1MZgz5OAwqAtnf14ULT/bnVJfDjUTXZzPA=
0tkh62u5cm96nb43mv8767jin6ruleeh.poker.	3600	in	nsec3	1 1 0 73 14SDJ2702PFJ6CUH6GSMJ6JCDEMRBSGT NS DS RRSIG
0tkh62u5cm96nb43mv8767jin6ruleeh.poker.	3600	in	rrsig	NSEC3 8 2 3600 20260122155517 20260101145517 58953 poker. jcmJCpW8NCmj2r3pcx7vMXZ9hGZZ10sIWdk2QbDoxsMzXOvPErPwFifse7OSwL3NKdmjH/nchPbmg2LwSdPIUZKPvpdlRIy9Ofs+b1xHy4W2FVeswgovq/aZV2Fb/tcn3LsojYSS20PgroHZHIJYf6v7EJxiEH5SehJVsVijmpk=
0x.poker.	3600	in	ds	7446 13 2 20806E2B36FB582F180A972132EC4B5B1C962B13A5AD2B4EAFC95BF28A882FE6
0x.poker.	3600	in	ns	launch1.spaceship.net.
0x.poker.	3600	in	ns	launch2.spaceship.net.
0x.poker.	3600	in	rrsig	DS 8 2 3600 20260122155517 20260101145517 58953 poker. f15pn/bWWC43ZmuOFTkODi44K9XkwSh/Gka5Ylry2rxG4P0WXZJGdTT82ZRiVRjkN6McAPrmhWZwTrUeyxoqfH+HE7u/CubZd2aw8RSzwXM/QCUTRr9fq5NbwQivhwrni2EmNuKwME9UIEEtEnm+2bNyxtKchnIKeK/X0yhqev4=
1.poker.	3600	in	ns	ns1.alidns.com.
1.poker.	3600	in	ns	ns2.alidns.com.
100.poker.	3600	in	ns	ns1.afternic.com.
100.poker.	3600	in	ns	ns2.afternic.com.
1000.poker.	3600	in	ns	ns1.dns-redirect.com.
1000.poker.	3600	in	ns	ns2.dns-redirect.com.
10037.poker.	3600	in	ns	ns1.dyna-ns.net.
10037.poker.	3600	in	ns	ns2.dyna-ns.net.
10066.poker.	3600	in	ns	ns1.dyna-ns.net.
10066.poker.	3600	in	ns	ns2.dyna-ns.net.
100700.poker.	3600	in	ns	ns1.dyna-ns.net.
100700.poker.	3600	in	ns	ns2.dyna-ns.net.
100hp.poker.	3600	in	ns	ns1.pananames.com.
100hp.poker.	3600	in	ns	ns2.pananames.com.
100hp.poker.	3600	in	ns	ns3.pananames.com.
100hp.poker.	3600	in	ns	ns4.pananames.com.
101.poker.	3600	in	ns	ns11.domaincontrol.com.
101.poker.	3600	in	ns	ns12.domaincontrol.com.
10114.poker.	3600	in	ns	ns1.dyna-ns.net.
10114.poker.	3600	in	ns	ns2.dyna-ns.net.
10368.poker.	3600	in	ns	ns1.dyna-ns.net.
10368.poker.	3600	in	ns	ns2.dyna-ns.net.
10380.poker.	3600	in	ns	ns1.dyna-ns.net.
10380.poker.	3600	in	ns	ns2.dyna-ns.net.
10408.poker.	3600	in	ns	ns1.dyna-ns.net.
10408.poker.	3600	in	ns	ns2.dyna-ns.net.
104156.poker.	3600	in	ns	ns1.dyna-ns.net.
104156.poker.	3600	in	ns	ns2.dyna-ns.net.
10557.poker.	3600	in	ns	ns1.dyna-ns.net.
10557.poker.	3600	in	ns	ns2.dyna-ns.net.
10650.poker.	3600	in	ns	ns1.dyna-ns.net.
10650.poker.	3600	in	ns	ns2.dyna-ns.net.
10731.poker.	3600	in	ns	ns1.dyna-ns.net.
10731.poker.	3600	in	ns	ns2.dyna-ns.net.
10744.poker.	3600	in	ns	ns1.1233dns.com.
10744.poker.	3600	in	ns	ns2.951dns.com.
10786.poker.	3600	in	ns	ns1.dyna-ns.net.
10786.poker.	3600	in	ns	ns2.dyna-ns.net.
10828.poker.	3600	in	ns	ns1.dyna-ns.net.
10828.poker.	3600	in	ns	ns2.dyna-ns.net.
10849.poker.	3600	in	ns	ns1.dyna-ns.net.
10849.poker.	3600	in	ns	ns2.dyna-ns.net.
109416.poker.	3600	in	ns	ns1.dyna-ns.net.
109416.poker.	3600	in	ns	ns2.dyna-ns.net.
10973.poker.	3600	in	ns	ns1.dyna-ns.net.
10973.poker.	3600	in	ns	ns2.dyna-ns.net.
10bb.poker.	3600	in	ns	ns1.dnsowl.com.
10bb.poker.	3600	in	ns	ns2.dnsowl.com.
10bb.poker.	3600	in	ns	ns3.dnsowl.com.
10c.poker.	3600	in	ns	ns1.aj423.parklogic.com.
10c.poker.	3600	in	ns	ns2.aj423.parklogic.com.
10jqka.poker.	3600	in	ns	launch1.spaceship.net.
10jqka.poker.	3600	in	ns	launch2.spaceship.net.
10x.poker.	3600	in	ns	ns1.dyna-ns.net.
10x.poker.	3600	in	ns	ns2.dyna-ns.net.
11.poker.	3600	in	ns	irena.ns.cloudflare.com.
11.poker.	3600	in	ns	plato.ns.cloudflare.com.
11080.poker.	3600	in	ns	ns1.dyna-ns.net.
11080.poker.	3600	in	ns	ns2.dyna-ns.net.
111.poker.	3600	in	ns	curitiba.ns.porkbun.com.
111.poker.	3600	in	ns	fortaleza.ns.porkbun.com.
111.poker.	3600	in	ns	maceio.ns.porkbun.com.
111.poker.	3600	in	ns	salvador.ns.porkbun.com.
1111bet.poker.	3600	in	ns	ns69.domaincontrol.com.
1111bet.poker.	3600	in	ns	ns70.domaincontrol.com.
111510.poker.	3600	in	ns	ns1.dyna-ns.net.
111510.poker.	3600	in	ns	ns2.dyna-ns.net.
