industries.	3600	in	soa	v0n0.nic.industries. hostmaster.donuts.email. 1757034183 7200 900 1209600 3600
0964nbc9v5kui7v78nn6qrisdtg6vm8p.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. qV4OdFzhErL4Acn5fCvKTDrdqtsa6nSqYTsq8wfFV7nif9zv159OxE20WmzyBykoOp23bw8F4Wy1Loso5ZNaigTaCRJ1JgMPvZaPCiy1ej8Orft+6FVyXQ/V8RH7hItU32a3Zh0zk2Z0NhDm/8ZjDEm/Jq1ymnOnqVbybdt0zXw=
0aan346ac8t1a3jmlm2p4r37kaloph5l.industries.	3600	in	nsec3	1 1 0 73 0BP46PQN0P8RANCQQOGVOOA37MKG23V1 NS DS RRSIG
0aan346ac8t1a3jmlm2p4r37kaloph5l.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. RUuOsWl+fPMYzyotK8hnJcuN2sLYyTHPk4AHqBrcc17m3fRwnZAVvOEnQQXGZBeSWKJm0/mIr6vlOQ4DH1ZTcBUABM7adN/ECOpjBZhA9LGRlcdn/xUGJZyJIHKtWEBIqHqMYCbg4COG+Gh+YiFgywawwvz/wTav5mhUU53MUmE=
0bp46pqn0p8rancqqogvooa37mkg23v1.industries.	3600	in	nsec3	1 1 0 73 0EPFFC7BDBQIE3S0OVFI9AFAPTPL8PU7 NS DS RRSIG
0bp46pqn0p8rancqqogvooa37mkg23v1.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. ll2ezgA924PSgDTmoe2A51pDC6LQmYyKq3uHWN+wxdvYVPWro8KknpCGlntW4RmV9Fy/Go0767yxwrBSbN0oYTO9dHgh4GGwk43aAcRBdzF7zG1UyjLqY9TU0NDfELWJdAKSntcRKfFkJ04RYme2crFC/yiTuw8A10KSffP301w=
0epffc7bdbqie3s0ovfi9afaptpl8pu7.industries.	3600	in	nsec3	1 1 0 73 0FB4OFL26RSBF93NANADSAOCCGB8GHOH NS DS RRSIG
0epffc7bdbqie3s0ovfi9afaptpl8pu7.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. LV5gXUUVgKY9cXWBLkIgxslUqJpAJpGozGiwhep0Pj2v0atHLel80Rpm8HlNOQbo5DfQmCpxOQ7W1qFYLb66UKGhHHY7tfyoA4MQm5yfm49ycCi0XRcg8lJpAxr3FqMlPQ2z4yc8muH5WiIMs9H5jMhgClOM4PSmV05KjtR026Y=
0fb4ofl26rsbf93nanadsaoccgb8ghoh.industries.	3600	in	nsec3	1 1 0 73 0GHAP42QJQDIBUFCCDKB5R4E8GK2U9LH NS DS RRSIG
0fb4ofl26rsbf93nanadsaoccgb8ghoh.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. uZVEmdyhqzZRhD5g+KhcBeEgLgUARkvXjJwkybyBDOfm4U41xCYvEZAQGfyh18Vi87l9idKwsqARJfZy6znF6fBLFtCw/F9fYIavn47Fj5zxThim3sdC+6BGveYFuM9fsHWyNTnuEClWNq6lE36TfIvy9uAG3o2REY6q+jvvyHM=
0ghap42qjqdibufccdkb5r4e8gk2u9lh.industries.	3600	in	nsec3	1 1 0 73 0H0GIT2QDIQ9U4C08F4896A1BQQIJD85 NS DS RRSIG
0ghap42qjqdibufccdkb5r4e8gk2u9lh.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. L5y7DDx3HM8MfkmRlk6uKbbhqNCbUdbaOQ7eSb/JTt5MqycVF1A1x54Ab3KG67cv1QcGg3DqxlHvMWbhbJwpyefpYlJd0APAZUiplNUgUpMMlzDkueIUQkKBlUn8iWB1UOTT+hJTxZxpuk92zqTfVUDUPIadLrn3rml21JZABOA=
0h0git2qdiq9u4c08f4896a1bqqijd85.industries.	3600	in	nsec3	1 1 0 73 0HFPN81M890H99HM318270HK5QGDFMKR NS DS RRSIG
0h0git2qdiq9u4c08f4896a1bqqijd85.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. LdzXPd8XzyV+5cAlZ0P6k82EAkN385Q49eDOJGDbF9ZxQ2E7haR/ADoCwrXIXCyIbs+clFzpRcjXthE5sd7eOZ0dRoJRzeUATOauXwuxNnG0y7GAmReNPrdICZ6+zUI4jjpH/di4T8puEc5vA2dMMk6Ges8f2PS7cr1ELfkrE+8=
0hfpn81m890h99hm318270hk5qgdfmkr.industries.	3600	in	nsec3	1 1 0 73 0IKQTPAE31N6I62JFPD033OONGI0BQ0T NS DS RRSIG
0hfpn81m890h99hm318270hk5qgdfmkr.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. P5z+aVHFf3VwGo3MfOg5acw9S3ewEqEkRG0YfrPKjIWvOzuRwfVHRjbAWXdQOZoLp9Gu6uTVXcOfhsmscN5XcNdoEP1hfexs/0W0tPYvM5hFtczjZ/JzxF1D2o1wcQC1FhwR1rq9X9rnJbs1hJZLcZ1BFy9inkMOfU2B0J9TxIo=
0ikqtpae31n6i62jfpd033oongi0bq0t.industries.	3600	in	nsec3	1 1 0 73 0J8QMSEQ17937D0V1FO3RHRV7ABI284L NS DS RRSIG
0ikqtpae31n6i62jfpd033oongi0bq0t.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. gx+7nY2WjHKBzxn4/Vm48FLl1tosWOed077D/WHGMeL302WEbeivVpPVr4P6hkv5AMAac9xl1R/BHmQLMuXLZpFyNoRZ00IAvK5TD9ktT3QvO36JeTdeADyPLSmact0aHosm8q0CczjqpV6XuYsK2gwiCoBS8Z+79LqMC6OKBQg=
0j8qmseq17937d0v1fo3rhrv7abi284l.industries.	3600	in	nsec3	1 1 0 73 0M3OMAT4QHGA9SMI4GCM13KA9F174FU4 NS DS RRSIG
0j8qmseq17937d0v1fo3rhrv7abi284l.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. ogUrDkbtlAv+O+eKNuW6CKw94OkAcm01S2lpaxQywjukZYl2IkNYyAVvGZ26gDrDSCrhuSBNTk/uuUg2yZYNvXDwOWtUV5VxDpdKIPddrFEODEZIF2+SrVeCQhE+NdI2/dXhDMUDRdlBptayepOVugfxp2PMrxmljtH1trcpKes=
0m3omat4qhga9smi4gcm13ka9f174fu4.industries.	3600	in	nsec3	1 1 0 73 0M4IME6VELRPS2JV9RJO6PSE3JFD13JS NS DS RRSIG
0m3omat4qhga9smi4gcm13ka9f174fu4.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. wuCM0hRqYHlsjF1JSGPSwqTQQynHAgYYfHjBOMlKPbv5PrrneCr55JVxzQxY1sLhGijYPaT89RDOT1zgvHtp/cc2np0+RbKCbiZVb3qi2XZ+Z1MFKX1+OaZYuor3keCE2RSmL6xO1LFsAzTTynkGAIamqwqE1NVmV0mupcK19Jk=
0m4ime6velrps2jv9rjo6pse3jfd13js.industries.	3600	in	nsec3	1 1 0 73 0NC6CNE6N2DSEPEILI8BT7T9P34K4CJA NS DS RRSIG
0m4ime6velrps2jv9rjo6pse3jfd13js.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. mn6T5ADrPUZHPMkKz6bNOTWjKlk+11SWbHcubcGc3tt8tQBbXRYV+X2/LaohzJlgh4k2xOwmKszUyqJecn+6p13/nX/cE1eIYMjQXgYZ19HZu2WnjBXLL12ObtbkPUjglbleLLuI3t2kI6C7t+JtHBDS/V/GMvMOOsByOBMsrW8=
0nc6cne6n2dsepeili8bt7t9p34k4cja.industries.	3600	in	nsec3	1 1 0 73 0P34SIBFD06GBA0O01SG8P4I0RU89LQP NS DS RRSIG
0nc6cne6n2dsepeili8bt7t9p34k4cja.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. nO4/IducH5e23HabbOcd6TSWQEUtxk3PrXkUP7jg8l148JeP/XzFfvPIRxbGfuwnkH+ikdIIg07agB9aSSZHfe2ZqytCRArCTumc/ZRrcpdrkkmn9vqNCZmFyLgRPKeu+i8kdbZFrmcfkOJcPhEmMfNP5/pRQbrbYxcz2W0bZCo=
0p34sibfd06gba0o01sg8p4i0ru89lqp.industries.	3600	in	nsec3	1 1 0 73 0P3J5T3S7DANHA202P2UKN94KN97CR54 NS DS RRSIG
0p34sibfd06gba0o01sg8p4i0ru89lqp.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. enmpRl2Dl9j5a9jdwP7pfoUxv0rluiFJy7X3NOhEcQ9jO2fzZowpiEX6wZjoUwo8lzIYY9Uiflk+OVBnpUwEiTswUI6B0Yp04rUuUqSaH4QiMOH8nZh4OBqY6iiFNTvbobcWzF48MUKAFklN+1VTTPe72K4fQz151mX88wZOO1A=
0p3j5t3s7danha202p2ukn94kn97cr54.industries.	3600	in	nsec3	1 1 0 73 0PB94GLHGSRAHFT1ONN3RT12PEHS4CT5 NS DS RRSIG
0p3j5t3s7danha202p2ukn94kn97cr54.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. Q7K+3nTfKf/gmZDkpg5oN97cy/A74JE11eT3ZWBdCc+UMMtXpHF00tU7MfkV02x8Sca2yILnVcvp2Nn+RLsCgtphV4aHLsby+nFL8U2dy79rMWIs/J4wwskT9SeUE2tUJW1NGLs5nk+JiXUXvqmI0aCi0TigeoPLvLhCYE98VAs=
0pb94glhgsrahft1onn3rt12pehs4ct5.industries.	3600	in	nsec3	1 1 0 73 0PMNA1PH303KDMGJ5Q3C2D8TR73PKPKG NS DS RRSIG
0pb94glhgsrahft1onn3rt12pehs4ct5.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. CkmQAzed3XT3kpWWEz1k0VeiX7UWSfGSVlnsegK/4WESzJofqC5uORysldY46kbeCqmOQfkShRMsC5+0fewAnUE5Xj3BZCKWK5yiHf9fPibt5Z+CL4BPWsKPMrHCqUCbzUp2sVluXzKfUF8xEOQydsiTPBkTaTV2gdeG9PLtWr4=
0pmna1ph303kdmgj5q3c2d8tr73pkpkg.industries.	3600	in	nsec3	1 1 0 73 0T39PKS2CMDO1A4OKJMBK6DO54HT97P6 NS DS RRSIG
