05c19g7a8e9dkf5nua09coti8slom524.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 068QP8SGF2RUHF4A6LO5FG07T61B336C NS DS RRSIG
05c19g7a8e9dkf5nua09coti8slom524.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. H4F7SUULRcDX4AqLy+96B7/eqo6AqUv13pWVi5yVvv59Vu0h+LJXrlzkqjeaITowNj9cg/kPttMeINUvRFjFiIAI7ao3t9b2NFTSS5q5IudaBqhyhGRBfvNOyyqLd+eXvZsUYNiItgECH7iyRe6eVr7nfQ+KLX9111uix2C9kMQ=
0608.foundation.	3600	in	ns	ns1.xeonbd.com.
0608.foundation.	3600	in	ns	ns2.xeonbd.com.
068qp8sgf2ruhf4a6lo5fg07t61b336c.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 06I74G6629N38PCV3K9DLB5FSPIKDEND NS DS RRSIG
068qp8sgf2ruhf4a6lo5fg07t61b336c.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. VLLCr8jn9doP/PMigLjc5myI07OOL2Dif43wS4cxMDLs09IHTCzulgWrv16LQKpO3nZH/vIr55QUjgBwJKQDIPPwfS2PiPCz4HsIlhpZujvNMsD/THZFWHtbrdHVtdbo3VEFUnBxyHmJIvYVttBlnWQBAlGcDAwvhkZKpRdAna8=
06i74g6629n38pcv3k9dlb5fspikdend.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 06L24A8HB9OFLVPVPKPS3VL2EJITCLD7 NS DS RRSIG
06i74g6629n38pcv3k9dlb5fspikdend.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. MqlWXdWox/1QxfWRKvQ4+89Io43TaIsfoe6kD9cvv5+3//qVoSEVkWagURDXpCjW91vKnQ7HXgH4ihqNL+glf0tq+yuSeKwTRXsMfyiJZo1QvdYQ9lhWPZPQMBsycbRHL/y6O6GUnU8ESjpgf2ksFr5yPtcqDa+OJBjVLJlOjMs=
06l24a8hb9oflvpvpkps3vl2ejitcld7.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 07IIMOJRRNE633GFHTO8AP1J3CM5M1EA NS DS RRSIG
06l24a8hb9oflvpvpkps3vl2ejitcld7.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. YR5m2+HirH7WUsOhjphNoRhE+Fym1l2M/OewcDRa1vGdEYQ3z9Z0X049F8rPYvKJgDC+TTkHAZRueQ+UxA25QT/yPYGwgfNcmR1btXrezHquvkZBJ5z2pwanMR2PvDNqhUPf5Orhd+VcN6etGQzSq9ii3HS3brxBBjWFJU7C03M=
07iimojrrne633gfhto8ap1j3cm5m1ea.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 07VI289RKL8N2TU4OT5CG0SVJO8NPV3B NS DS RRSIG
07iimojrrne633gfhto8ap1j3cm5m1ea.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. vLXeNZ6e8+Dumm8yYMuBIAD4GEf5lDPYBrFk5YFzvXJqkQFF2KiP9MqPVS7A8ujRgUrf2Su/z3iT7HvwYla+AlvVzAztW3o4MsbTOruzfq5ex9LKsGYDMCRL8tK8xOI5C7eWm1woVpcWg9qVYMT1vjXwsxb3ClYqsTslEtUleeU=
07vi289rkl8n2tu4ot5cg0svjo8npv3b.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 08GV40S2OSHA3VQ5Q2Q6S289I3E2IGSD NS DS RRSIG
07vi289rkl8n2tu4ot5cg0svjo8npv3b.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. H2QzC4XdACTN4QyYfaTX0Q/A+muOhj6LO8sF0qLUcmuG17Lmm4NEUkFOeT+HYaBDmHqdoNnKN78n9IILjlVPkPwyHIjhD2KJtquez3aotafhjVoVOPjNUgfINKkJznV08WJ+dotQLA2EjB+E6LE6ZlQDB7ane3XO9nucT6RF7WM=
08gv40s2osha3vq5q2q6s289i3e2igsd.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 09V9JK5L482JJR6SQVMHF6C3ID5TTLEO NS DS RRSIG
08gv40s2osha3vq5q2q6s289i3e2igsd.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. SAZGeSLSssbLwO4PVhXiw0ff05M++vvEy5rYLcLT0t1O25RIT7UXzQirdLm3ejjJPzzNF8/GucuPg3aKe5qMk/H3/FM9YzxVRAJ3h0Pf3hYt7vyauEpkrY5D1juklTahpnAgXwX2F7TTfb0Sli8mV8e7eI7IQk7N8c8cBiCLA+M=
09v9jk5l482jjr6sqvmhf6c3id5ttleo.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0A1O5A08PH5OO92IPKKBGJ65F908PBU1 NS DS RRSIG
09v9jk5l482jjr6sqvmhf6c3id5ttleo.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 4NKhQvPk9ATTrcBq7c0w85MO4BworQ417B0V7X6b7rW5xRSWLx+DfMBim9heSaI8ud/Y0zOZE9Nwb1+ph+3ZCe2Btrr0DISDxDtBdsZpOtcumZl1WPe0nyI3rNel1b8hsxKMtX0XdWN2ewEbTh6RgWv52v4I6B3ICBMZ1yHhffA=
0a1o5a08ph5oo92ipkkbgj65f908pbu1.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0B15M4PP2M7NLHVOO7ECPE282NS6T261 NS DS RRSIG
0a1o5a08ph5oo92ipkkbgj65f908pbu1.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 0SIgpmnFMyHbz71chIzLoQ8UXiTr1g23V3HxVjYlgN/Yudvvi/D8kjdfoIKXGwEzEk77yJXH9xMNHtolouEpwnSdC5wE+68vvTolJ7eB6eScglPfOZSla1HLKOWhTGa8s9Py9kCGG226V6jyxCTcKuATMjSKoSv/bstDNCyUvWY=
0ai.foundation.	3600	in	ns	ns1.afternic.com.
0ai.foundation.	3600	in	ns	ns2.afternic.com.
0ai.foundation.	3600	in	ns	verification-n72bjbsygzfr6mabsfdqej.ns101.verify.hn.
0b15m4pp2m7nlhvoo7ecpe282ns6t261.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0BBFHBAQ8K5ON46E4T682O3UH9ELDBJS NS DS RRSIG
0b15m4pp2m7nlhvoo7ecpe282ns6t261.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. Mjh50ao/eChkwbpE39lsIp35HevSS/l6VdizUMS4nLQyd18/kT0l3NiL5MsqatxbjUtXdoIYw4Q18923rIcJhSf1zhB99MMSH/vz/qPkdfTzD6HaK/TwwV8LbnfrV53OeSR/pSgCjaNNpvnpdu4FgBHgoMxhEyZg3CzGyT1MR8o=
0bbfhbaq8k5on46e4t682o3uh9eldbjs.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0BEU6F3VG7HBKU5DU0D7MV7QA3R1UQCG NS DS RRSIG
0bbfhbaq8k5on46e4t682o3uh9eldbjs.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. yJsiUzqhaZYGKvQrAf+lLPSEoIDCWTyWiNq2RG/4ArciFT8tych8Dik7T3x3/WUnJUA24atmSNkDK0tiQXuCzpqrPip1ZWGUubufdhiytwcR8b8OObZsz+9f6YdJJqKXKOwZLGwgQrFEbpc1dnhCGnoIeHdYBuKqH1BcnfLASlQ=
0beu6f3vg7hbku5du0d7mv7qa3r1uqcg.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0BL30BUQJM3E5N1KD3LK3NIQ6RK701I2 NS DS RRSIG
0beu6f3vg7hbku5du0d7mv7qa3r1uqcg.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. nOQBu2o/i+OHaJPE42MFH/yEbgrL4Qt6ysfitkI4jeCRiTsxoIqcGAlv0tGPQ2B5H48YAbmBi2zhsP3y3eDshBv6buf4Z91QXTWXPFH/mCGMYsGLl4NFhUZXVez0RWoeLSFGS9tSWk4MTOf1PHvwgIX8S3HU1H708NnR/1ILbwY=
0bl30buqjm3e5n1kd3lk3niq6rk701i2.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0DKVSHA9IBK837IQO5TJJMJ7G1LJPARM NS DS RRSIG
0bl30buqjm3e5n1kd3lk3niq6rk701i2.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. wYtvqqA8gsn/lwcGv8aIu5zT5jSZIQAuo3FEDjBvC0UVuXa96vEpCw0iKAz6xZ1+rGY2rGOJnQrWhJt4DU4EsMeht0wBVALSKWPS//8M6wabqgzloLbTLtH4RbzkgW/gGhvqmcD+nMlTqWOJFKooQoPFiBy35btaxUbQceqCGrU=
0dkvsha9ibk837iqo5tjjmj7g1ljparm.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0E0VMF0AD79PIMGOO5AKMDK33O23F3I1 NS DS RRSIG
0dkvsha9ibk837iqo5tjjmj7g1ljparm.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. h74UIE3Z7nf61QeYMoJClC64AjDRmiDgHqOBt1lA05koly1/PSXZIGHg+BfM/Wgck2TX8Bx78uIwUjTBNOU7U3AVtQxwYVqRh/La64D4IkTGO3Yp7hl5nfAn6tTC7lIU5EqHakVBczezAALEFFN8D+UySjoByOzhsDhKexADMC4=
