02468.chat.	3600	in	ns	hank.ns.cloudflare.com.
02468.chat.	3600	in	ns	lucy.ns.cloudflare.com.
025.chat.	3600	in	ns	ns1-show.myhostadmin.net.
025.chat.	3600	in	ns	ns2-show.myhostadmin.net.
026.chat.	3600	in	ns	valerie.dnspod.net.
026.chat.	3600	in	ns	weasel.dnspod.net.
0265eg9rmcq2ogiqvolgc54m5cbjqhca.chat.	3600	in	nsec3	1 1 0 73 02GGKJU0G5T7P5CT8TVCJGLRUU9D2EIR NS DS RRSIG
0265eg9rmcq2ogiqvolgc54m5cbjqhca.chat.	3600	in	rrsig	NSEC3 8 2 3600 20260122153021 20260101143021 4920 chat. YrXcBq0ebeBRdEviprnlXE8kc0OqNEYAaP8OWoGJmE+COKu10uK+PJa7FpNKoSb+KllZSXJX6lZQKzxgIM+0JwkUnvoXLG/OJnIyxOs3dcp5Spj1TgrhMBk54pMw3roSlX0PFqiUFqydQRT+Tcr3KRG6S/GXtA9q0i8v4KJ8RD0=
027.chat.	3600	in	ns	ns1-show.myhostadmin.net.
027.chat.	3600	in	ns	ns2-show.myhostadmin.net.
028.chat.	3600	in	ns	ns1-show.myhostadmin.net.
028.chat.	3600	in	ns	ns2-show.myhostadmin.net.
029.chat.	3600	in	ns	ns1-show.myhostadmin.net.
029.chat.	3600	in	ns	ns2-show.myhostadmin.net.
02ggkju0g5t7p5ct8tvcjglruu9d2eir.chat.	3600	in	nsec3	1 1 0 73 02T8OLC5CDOE82M5NA9M77JD333BQMGL NS DS RRSIG
02ggkju0g5t7p5ct8tvcjglruu9d2eir.chat.	3600	in	rrsig	NSEC3 8 2 3600 20260122153021 20260101143021 4920 chat. f6jI26mVyLgO1jPKqwhvcEu9jOWgvxOcbIAP6vkcLxsAxsjaNiNTT3VpJmiU3Bx+oI2Tki/gEuUjGrWJa8rMzOHYXGbxAStMzRYe/kDzEQsBz9URIgYIX7X+6batjTVSQEz/Gl+VXeAjQtawIuwhEgFUq5suVS1KnOXbIA9yRnA=
02t8olc5cdoe82m5na9m77jd333bqmgl.chat.	3600	in	nsec3	1 1 0 73 032CC9F3FTSN3BLT7GQGFM2A237Q3SL2 NS DS RRSIG
02t8olc5cdoe82m5na9m77jd333bqmgl.chat.	3600	in	rrsig	NSEC3 8 2 3600 20260122153021 20260101143021 4920 chat. QLQrJzp0b/SigCoWTXHf1q1QvgZBXt30KfCU0LScPloPCFaZvJsvMylYWqri6yocpDFJYw9MgfVdFQlCWqKssQvPngV1E/Db5cfvimkGDI+8QjBOW0G+tbGyUKUiPnw0YinN6cOxB6KY/0jEbIQpfe4ZmSIvamJLB0kbqPrvYN0=
03.chat.	3600	in	ns	dns25.hichina.com.
03.chat.	3600	in	ns	dns26.hichina.com.
03244.chat.	3600	in	ns	ns1.dyna-ns.net.
03244.chat.	3600	in	ns	ns2.dyna-ns.net.
032cc9f3ftsn3blt7gqgfm2a237q3sl2.chat.	3600	in	nsec3	1 1 0 73 038KK382HJKST665A3G0HL9AEVSKFJ1O NS DS RRSIG
