4ke012017n2nedb0b38tge86vr6oo81d.fishing.	900	in	rrsig	NSEC3 8 2 900 20250915082011 20250901074406 47751 fishing. t3+0fZCEW+aO2jeRkLiogPyj4FyqN+3XWOkbZJTtASUMgii8jJT9HRfHV0Qs5IG57yYU4TzHGqgJ5ERSIVkwfVljjJ8lbkIuqSGkhKY5OVr0iRW9yk7kJ3L2JgsFmTIrOoUmxFMbMIoB+XWu2PkhLJnmuZqheLSFHVtZ5rEuCvfmJA34m73sRbbgjrFMNKW5h2hhb5+2BhfEuR2j5LJm6g==
4vkf5elvcjv346p8l0usca0tk2kburpn.fishing.	900	in	nsec3	1 1 0 - 58B08VNJ7RS986J99JFO5F3CQ2EL6OF6 NS DS RRSIG
4vkf5elvcjv346p8l0usca0tk2kburpn.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918100847 20250904093635 47751 fishing. tb8HN4pMFNbzIhqFvzxF198Xs4ePVRQ8s8u5ilVD+Kup3jXMPL4yRjGHz5ucZIxV1Ty1cAAuQICix1jNXBSpVdcIcBxn/H0xNcy6z+Fyuj0rs++YfrJeCdVV4rQaYXmeseWmd38xJn+Ch96arZCBYmehe0erl492EdAPQFIsRQj+bYfOiZDMzYHfyTD0M40CZlO0l93QkRM6vq7UmwvvZA==
5050.fishing.	3600	in	ns	ns1.xserver.jp.
5050.fishing.	3600	in	ns	ns2.xserver.jp.
5050.fishing.	3600	in	ns	ns3.xserver.jp.
5050.fishing.	3600	in	ns	ns4.xserver.jp.
5050.fishing.	3600	in	ns	ns5.xserver.jp.
58b08vnj7rs986j99jfo5f3cq2el6of6.fishing.	900	in	nsec3	1 1 0 - 594CAK929PDJVLEHNJ1PFGVH694D8BVO NS DS RRSIG
58b08vnj7rs986j99jfo5f3cq2el6of6.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918100847 20250904093635 47751 fishing. spoMjYQonyWahEBcq06Zye1v9bHwZkFyMV5cDJslHdTuoHTSWnyeZe73+hmilovuZSZSMsqK9GowOaRUmlWxAbeLuMvyOgEh5klKHpdPGXvKoP5lEf7CaE47GrUaOJvg96UT6r7IMT3Ed/jYp+dav1yvHnn1hK4SFOUYmfXonU9b6zmf604585BUZEsGcrl3QmPWSVIilqQKmFqR/GG5AA==
58win.fishing.	3600	in	ns	lovisa.ns.cloudflare.com.
58win.fishing.	3600	in	ns	nero.ns.cloudflare.com.
594cak929pdjvlehnj1pfgvh694d8bvo.fishing.	900	in	nsec3	1 1 0 - 5HM6EEALIFM9L97R6FSE5SDMVJP21TVR NS DS RRSIG
594cak929pdjvlehnj1pfgvh694d8bvo.fishing.	900	in	rrsig	NSEC3 8 2 900 20250914041752 20250831035817 47751 fishing. mvhJe/WVc+dYyn6eRmworaeb7OueyGc7cS8KMtjRjtQ78Fem8ZnC7mDCFB9biKFb3B5icuNPIAXJimgViror5/u5RJlN0lmiV8q14J2Mx9AE7NAk/AQa8gYquXVuR0W/yI1ERPk0egY/7TL8iLtn7xc6GHbQlrK6QoJe9HrBvoTEWRFtJoPhnPHHfn/SnFr6/A1SgRP9aAnHcK4fu9iXLQ==
5hm6eealifm9l97r6fse5sdmvjp21tvr.fishing.	900	in	nsec3	1 1 0 - 64SG79E61GME6LN6ESKRATOHAKFN2DT2 NS DS RRSIG
5hm6eealifm9l97r6fse5sdmvjp21tvr.fishing.	900	in	rrsig	NSEC3 8 2 900 20250914041752 20250831035817 47751 fishing. iAsuy25J+XWI/qJjB6hrpxqSMwyoQtEGjs7ddv8n+y3TGVy/AVKzi8qJaIVkF2uqCi1VD4nMuAYDhYUNVg4kZOcLyDvJL0jESok1KtKPO5X0NL793UWNoaOJj0LE5oVvlnBJXrya1g1y0QlwXMVmfCLRMNmnEOKzhdnwdCq3gqSzJVexbNZ1DhbCk2b2tLkhiTWVQ7WzonIGJFaOCNtK3w==
64sg79e61gme6ln6eskratohakfn2dt2.fishing.	900	in	nsec3	1 1 0 - 6BT7D103O41LT7559G2HH89FSEC7BOUU NS DS RRSIG
64sg79e61gme6ln6eskratohakfn2dt2.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918110146 20250904105113 47751 fishing. AXUv8iYbEhFuMbolPb8fzsTlhZuefVgr4w3epa4x/t8hvQbQhRAgbpILOWwGrP5fl5qMeve0AS3JnkkyGaAiFTD5XqRqAbOYzAFaoS4fxFmgffMxC7ojyn13/cUFfaFaFf4OTIr6ILUyxvDc2V5zV3MN7ZRNe2Fivqzr9SQragBGuPR0j6GdQVwdVuP7ukuYN9q1MNrgqPSSzPWrq/IDzA==
6789.fishing.	3600	in	ns	dns1.registrar-servers.com.
6789.fishing.	3600	in	ns	dns2.registrar-servers.com.
69vn.fishing.	3600	in	ns	leonard.ns.cloudflare.com.
69vn.fishing.	3600	in	ns	susan.ns.cloudflare.com.
6bt7d103o41lt7559g2hh89fsec7bouu.fishing.	900	in	nsec3	1 1 0 - 6MLDO0IQENI51B863K7GO6BHEGRHJ1US NS DS RRSIG
6bt7d103o41lt7559g2hh89fsec7bouu.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918120140 20250904114319 47751 fishing. XnkVG11Bee1ZOwQlZUAjE4iyUGCoCL0kFPm2MSsCw9+iQjYSzlabjMPdufFMTYk6s+5Acee53Rp7bBThWeCpXb1BVDrJFe+ynH+NWtK2b44JE3muiv+QCUphtgtMDlpYHrNh/6g6jjFamhXcqx9+ExwAL11Gv93xw5MX2ksDXnaaR3k4bxtQz2XoGHg+wroRoHYgUbEeL7TlCYSGDEmmJw==
6mldo0iqeni51b863k7go6bhegrhj1us.fishing.	900	in	nsec3	1 1 0 - 77RC21EODASPVIAGQM300A9SSCSSHVIG NS DS RRSIG
