008000.wtf.	3600	in	ns	ns3.dnsowl.com.
009casino.wtf.	3600	in	ns	ns1.dyna-ns.net.
009casino.wtf.	3600	in	ns	ns2.dyna-ns.net.
00dqrthonilcu0vmqcc3apqvmce4fqce.wtf.	3600	in	nsec3	1 1 0 73 00IA17AK9DE9QECP3FH1UQPMSU60PIJE NS DS RRSIG
00dqrthonilcu0vmqcc3apqvmce4fqce.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. ZKdDAHF6kkuNgir5gwQujYxw0K9uk0p3SIPSuf6oe5pvkEundBdmtluDYlQx4ya5xw2GpLf0Xg2eiYKLXji2IbJzycWjDRCebWwQiQBrA9KJSs1q1FfALd5haKVxvEWjV+tkYW6K7hMQ4Ls6VDJg90bcbPKmM4hPznk2LNohaWg=
00ia17ak9de9qecp3fh1uqpmsu60pije.wtf.	3600	in	nsec3	1 1 0 73 00N4T2S40AVH87J2KQ3S4M2QC4AAO66C NS DS RRSIG
00ia17ak9de9qecp3fh1uqpmsu60pije.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. J6u4yMG6mEzFXS5ywvTuZRdKNFGO7BXcxaxoozm2FAr0WiNoolANE/D7KSi3vOlxXizVID+hL2cWEU/EiUWrECeE3Om9q4pFtE+b6/9Rkz01amW9MCeMR2X1QHSu0YiHGJTODc/Onxctr7MLkc4FnqYxpcNYwv8jy69Sfj3xnug=
00n4t2s40avh87j2kq3s4m2qc4aao66c.wtf.	3600	in	nsec3	1 1 0 73 00RASFK076G0FFLEVFM7HM26MVALDT7K NS DS RRSIG
00n4t2s40avh87j2kq3s4m2qc4aao66c.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. bNkXfyA+l0Q8EsuQqe12U7vdOytcMjYmP054t8DoS1rnFN334xr8es4vD9DetMELl6J39kYMjzxIYjj/V7Bgm/L471CAq66gYiNmx278QaLZLFkgBvpoUqWzAlRzQxLhBzf7MI2hm/H+Y9MnMYzLfQUX7SUI+3QULz36+w2457w=
00rasfk076g0fflevfm7hm26mvaldt7k.wtf.	3600	in	nsec3	1 1 0 73 00TRJOPF1G4NKBA6Q9QJ3C94VEK0EECQ NS DS RRSIG
