138.yun.	7200	in	ns	ns4.363.hk.
1388.yun.	7200	in	ns	dns11.hichina.com.
1388.yun.	7200	in	ns	dns12.hichina.com.
139.yun.	7200	in	ns	ns1.myhostadmin.net.
139.yun.	7200	in	ns	ns2.myhostadmin.net.
139.yun.	7200	in	ns	ns3.myhostadmin.net.
139.yun.	7200	in	ns	ns4.myhostadmin.net.
139.yun.	7200	in	ns	ns5.myhostadmin.net.
139.yun.	7200	in	ns	ns6.myhostadmin.net.
163.yun.	7200	in	ns	ns1.ename.net.
163.yun.	7200	in	ns	ns2.ename.net.
1688.yun.	7200	in	ns	ns1.ename.net.
1688.yun.	7200	in	ns	ns2.ename.net.
188.yun.	7200	in	ns	ns1.ename.net.
188.yun.	7200	in	ns	ns2.ename.net.
2026.yun.	7200	in	ns	dns13.hichina.com.
2026.yun.	7200	in	ns	dns14.hichina.com.
2048.yun.	7200	in	ns	ns1.ename.net.
2048.yun.	7200	in	ns	ns2.ename.net.
22222.yun.	7200	in	ns	ns1.ename.net.
22222.yun.	7200	in	ns	ns2.ename.net.
23456.yun.	7200	in	ns	dns29.hichina.com.
23456.yun.	7200	in	ns	dns30.hichina.com.
2468.yun.	7200	in	ns	dns13.hichina.com.
2468.yun.	7200	in	ns	dns14.hichina.com.
283kn573lei5mhniihve23do4lcc136e.yun.	3600	in	nsec3	1 1 0 - 5V37LVL72R8H1O64296N973GUUAHKOQE NS DS RRSIG
283kn573lei5mhniihve23do4lcc136e.yun.	3600	in	rrsig	NSEC3 8 2 3600 20260117193429 20260104060031 18219 yun. 1oh2tuh7Hhun1aVOZC+BGN8Eu949VmSTNd15tEkSDtCIIalYle1ryWVCaXgMtrfjL50OtemI4z/Q+dI2JFpst74f0RXBKY75kOC8Tuzay+BxNuu+ZJ6xf24IZFMvGy7vweiNhALtniNupf9VnrgjeaCF1EHCkEZiZHzdpWEqxSownt1Tj9t1Su6AUIvPrNUR9EmMUZXDkf0aULHN0ttR8Wp2KeV4oo8aiJkQaTi8NQxFfhRw3v/b/Nf7pqh0bOmMN6My1i4PGMxFfqGwIN1/cvgBvefh4G0FFZV7iL1xD+E+ZIFmftziqawLngl6GsY3LYVp0E9SUUluVtEWNfciyg==
288.yun.	7200	in	ns	ns1.ename.net.
288.yun.	7200	in	ns	ns2.ename.net.
310.yun.	7200	in	ns	ns1.judns.com.
310.yun.	7200	in	ns	ns2.judns.com.
34567.yun.	7200	in	ns	dns10.hichina.com.
34567.yun.	7200	in	ns	dns9.hichina.com.
388.yun.	7200	in	ns	ns1.ename.net.
388.yun.	7200	in	ns	ns2.ename.net.
443.yun.	7200	in	ns	ns1.ename.net.
443.yun.	7200	in	ns	ns2.ename.net.
45678.yun.	7200	in	ns	dns17.hichina.com.
45678.yun.	7200	in	ns	dns18.hichina.com.
488.yun.	7200	in	ns	ns1.ename.net.
488.yun.	7200	in	ns	ns2.ename.net.
5173.yun.	7200	in	ns	dns27.hichina.com.
5173.yun.	7200	in	ns	dns28.hichina.com.
5555.yun.	7200	in	ns	ns1.ename.net.
5555.yun.	7200	in	ns	ns2.ename.net.
55555.yun.	7200	in	ns	ns1.ename.net.
55555.yun.	7200	in	ns	ns2.ename.net.
567.yun.	7200	in	ns	ns1.ename.net.
567.yun.	7200	in	ns	ns2.ename.net.
56789.yun.	7200	in	ns	dns7.hichina.com.
56789.yun.	7200	in	ns	dns8.hichina.com.
5v37lvl72r8h1o64296n973guuahkoqe.yun.	3600	in	nsec3	1 1 0 - 283KN573LEI5MHNIIHVE23DO4LCC136E NS SOA RRSIG DNSKEY NSEC3PARAM
5v37lvl72r8h1o64296n973guuahkoqe.yun.	3600	in	rrsig	NSEC3 8 2 3600 20260117052039 20260103083031 18219 yun. yxzVKgUjjws+JIYUkZ91OO5h9OVKXe3IhLjtpzDK05w8uf3mDlubD/XFEDa6J70CECDWqJ8nA3qV+hqCDyFZzc9T1Jkvr6ILykrc1A2xEkDvxqX+QLMVh1XFoN3FKRr2CyYSE9kJzxhh+CVn/HYxZzcQxiMKQ/lHyp8Ks9npLiTQ1NxCpIt1OO7f/yjSZ10t81IwUSR6UhiK8kQpmLkayvAplA45jPdw7s79/aCmyJPE1+sKFkWNcF6uXUzxHqQvYYLPFRDFefGb65in/lUhIVf4caDry+vesuywIHRp0WQGYE/GUh5dVsbTXBPVrRxLdWMJMgRqPzJpPcyoGWoZ4g==
6666.yun.	7200	in	ns	ns1.judns.com.
6666.yun.	7200	in	ns	ns2.judns.com.
66666.yun.	7200	in	ns	ns1.ename.net.
66666.yun.	7200	in	ns	ns2.ename.net.
666666.yun.	7200	in	ns	becky.ns.cloudflare.com.
666666.yun.	7200	in	ns	dante.ns.cloudflare.com.
668.yun.	7200	in	ns	ns1.ename.net.
668.yun.	7200	in	ns	ns2.ename.net.
678.yun.	7200	in	ns	ns1.ename.net.
678.yun.	7200	in	ns	ns2.ename.net.
720.yun.	7200	in	ns	ns1.ename.net.
720.yun.	7200	in	ns	ns2.ename.net.
7777.yun.	7200	in	ns	ns1.ename.net.
7777.yun.	7200	in	ns	ns2.ename.net.
788.yun.	7200	in	ns	ns1.ename.net.
788.yun.	7200	in	ns	ns2.ename.net.
7x24.yun.	7200	in	ns	ns1.ename.net.
7x24.yun.	7200	in	ns	ns2.ename.net.
