00esqqivfirfbt91qcmo3e147cs24j97.earth.	900	in	rrsig	NSEC3 8 2 900 20260117184909 20260103181222 9033 earth. k3vNVlBHjYJjiVo0abUU1Kj2yGzKy9S5J4ZNOhDGLwHU9xfsxAc5F52icapu6twZcsUKxboaZW4CTLbJ9JAfrbguwDRdfFm9DhLDMATJft3PuXrWI5Q+QQzrxb+T9uzzuiTmyeGRn7UhnvXEqEBv/KID6N6eR6v/+ek0Trc0X9ZqDesWdwAuOo1tePlS7o2nqfJw3ym5C9bFrPnwTd1MNA==
00jiv08dntelv7jv3fqflqfg7rqbue4c.earth.	900	in	nsec3	1 1 0 - 00OI4U5UAS7M2BQD2IFL56CSLJ3JNP5S NS DS RRSIG
00jiv08dntelv7jv3fqflqfg7rqbue4c.earth.	900	in	rrsig	NSEC3 8 2 900 20260115003057 20251231234255 9033 earth. mkk6wi11P3URsXlRwuPz40pG0hklK2Qr6neqzqS5qsfAvRfhsAS/X/ho2QLpKVm40jifw1lPAz9dAOonZ+VIe2lDYnQmhPFQjesSwDQ7ZNRiPjNVlMjGzXJM4koAU4oya71WU/AKJdqpmJYe1wXAq2eUJKUE5BUkTsslbjylkxAointlhN6z5f3Lp7W/uc3tLOJFSqwwiMBb1Y9vSd8PHA==
00oi4u5uas7m2bqd2ifl56cslj3jnp5s.earth.	900	in	nsec3	1 1 0 - 00UDACQPUCRO8921FILQPAAC2Q20MEDG NS DS RRSIG
00oi4u5uas7m2bqd2ifl56cslj3jnp5s.earth.	900	in	rrsig	NSEC3 8 2 900 20260118163104 20260104163003 9033 earth. otgccNRLsVV/ywpu2d+u7spcarySoj/WUoJlS/ls0Dgs3foumNFjfE1M/x+MUZ3OYc3D4lugR5teDgo0yjByx/0YWWEkQA/2rAqMLYbyu9RNJ+ikdQDqWEkcSupd8STO5tT5pMDOMJQ6/2Rdfmzz7kzCrDRETPnxgbLZHQDR13lDf3o/ep/8uwefbSpPfSW4HB9PKuxsh72X9kiilGlFEw==
00udacqpucro8921filqpaac2q20medg.earth.	900	in	nsec3	1 1 0 - 01EQ2UF2KN7G9SPVUOBUKVAVOSKP264K NS DS RRSIG
00udacqpucro8921filqpaac2q20medg.earth.	900	in	rrsig	NSEC3 8 2 900 20260119013005 20260105010817 9033 earth. pb+FwZufc0NPjZ4RxuzT0joUoWAvI3RYJBiVufrbXjDRxlTK7Oxgb2ZgW2BCnRPIyyAfsUFvC2gkp47n/Zd+ipUhBtcgPNns1BNIxey/0ne/K5L3YpilWO+WmPvdR4yzIvQi0No+Yx9eUGN4H56c1I5WLaS4M3UiWnU4TKuLRuYe/+FBv4xyjyArU6qESDe8DRSg0Fvt4rR20F1hAdAB/w==
0101.earth.	3600	in	ds	1524 13 2 F3350BB5A7E52DA93645E1F5C129D402537AAD5D1051208D53906CE6C7BE17E4
0101.earth.	3600	in	ds	59433 13 2 7B05697DEB2E3EADB5AAE3F40F2713A257E6F69DB37D6D33577D42A44D5C7BC2
0101.earth.	3600	in	ns	ns69.domaincontrol.com.
0101.earth.	3600	in	ns	ns70.domaincontrol.com.
0101.earth.	3600	in	rrsig	DS 8 2 3600 20260119075234 20260105071804 9033 earth. A8+l8H8H8ZDSIiQW6gQW5Cud5+Btzwf/HM619rqDtwtQkfDs/NAbkLTG7ocT8VgTfKx8OD2OB32xHLw4SOH+QeUw0/DANzQZV0N+KDs0xkUtE70UcC8j9vAVrycXKdDTvgAKX5Ff615UB+UajlNhPlVEEVCiMksj+p8SVJIuZHVVCurM9zHNCgafXMqF+QHkFaJtxhHs1sfMYAJn7D2tqQ==
