12vg6gs6f47cammvj86itme8g1b1phn7.lighting.	3600	in	nsec3	1 1 0 73 17NE28TC7SVD6R42V5MMJTHPK0P0JGDV NS DS RRSIG
12vg6gs6f47cammvj86itme8g1b1phn7.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. f/GnCmTQ65ZwWieamC8wmc8v5sE0JBC+JUy72H/UcTQinSjJjbViCRGWji9TWlOz4r0KTSaYQ9I971WehEtRA8b3lUaVUDoVsgHaPXZvrRTKEcmxbLAVxqaTw+GYqN/ZkGAymJNDAbHC3J+kU3hcYnQFtASsWEql1G8rHcjJsbg=
17ne28tc7svd6r42v5mmjthpk0p0jgdv.lighting.	3600	in	nsec3	1 1 0 73 195V72UBHFQTQMOTQN8S91H8B3N01DCQ NS DS RRSIG
17ne28tc7svd6r42v5mmjthpk0p0jgdv.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. W40/3FGS6P+M/xlSfTm9xWcrqPpqwtfzz8k5jOrGDJUF/vO2FxTt+ByebZ8InlzguwHAbeyPNjuLCVKziX/dT+WdKPRWerADr5b6BYK5vL4U/dMDvzzc+ZoH3ugCly8XLirbk3cFwsuea6WVj8h/pMr905MdQG3f67EX7Pczluc=
1800.lighting.	3600	in	ns	ns43.domaincontrol.com.
1800.lighting.	3600	in	ns	ns44.domaincontrol.com.
181.lighting.	3600	in	ns	nsn1.mijndomein.nl.
181.lighting.	3600	in	ns	nsn2.mijndomein.nl.
188bet.lighting.	3600	in	ns	chan.ns.cloudflare.com.
188bet.lighting.	3600	in	ns	moura.ns.cloudflare.com.
195v72ubhfqtqmotqn8s91h8b3n01dcq.lighting.	3600	in	nsec3	1 1 0 73 1A9MH0VCV5JQ2G6KH2M6IIQU6MM3FFQB NS DS RRSIG
195v72ubhfqtqmotqn8s91h8b3n01dcq.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. AQ7CuUD8XfyVwd7O0bZgkT5NkeU1rs7Ors0MFG9nNKledk1JxPOFdXyAAYGoxliyxjLpVE0hHXFjkt0lpS6mPu2tX2RQdf/wgxJN3unB8lXhUw69qY6vfZVSfHsPq07lLFZ2SO4gEfdycipcgg1GJ89rBloQX08XpKB30useElM=
197.lighting.	3600	in	ns	dns.technorail.com.
197.lighting.	3600	in	ns	dns2.technorail.com.
197.lighting.	3600	in	ns	dns3.arubadns.net.
197.lighting.	3600	in	ns	dns4.arubadns.cz.
1990.lighting.	3600	in	ns	ns1051.ui-dns.de.
1990.lighting.	3600	in	ns	ns1109.ui-dns.biz.
1990.lighting.	3600	in	ns	ns1117.ui-dns.org.
1990.lighting.	3600	in	ns	ns1118.ui-dns.com.
1a9mh0vcv5jq2g6kh2m6iiqu6mm3ffqb.lighting.	3600	in	nsec3	1 1 0 73 1BSON3EN04I6QBI7OK4TGIUG1V0GBMVL NS DS RRSIG
