a-digital.istanbul.	3600	in	ns	cns2.alfahosting.info.
a-digital.istanbul.	3600	in	ns	cns3.alfahosting.info.
a0.nic.istanbul.	3600	in	a	65.22.144.9
a0.nic.istanbul.	3600	in	aaaa	2a01:8840:008e:0000:0000:0000:0000:0009
a2.nic.istanbul.	3600	in	a	65.22.147.9
a2.nic.istanbul.	3600	in	aaaa	2a01:8840:0091:0000:0000:0000:0000:0009
aak.istanbul.	3600	in	ns	ns1.ihsdnsx8.com.
aak.istanbul.	3600	in	ns	ns2.ihsdnsx8.com.
abaq.istanbul.	3600	in	ns	ns1.namehero.com.
abaq.istanbul.	3600	in	ns	ns2.namehero.com.
abaya.istanbul.	3600	in	ns	ns1.natrohost.com.
abaya.istanbul.	3600	in	ns	ns2.natrohost.com.
abc.istanbul.	3600	in	ns	ns1.natrohost.com.
abc.istanbul.	3600	in	ns	ns2.natrohost.com.
abd.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
abd.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
abdullahbaba.istanbul.	3600	in	ns	eu.dnsenable.com.
abdullahbaba.istanbul.	3600	in	ns	tr.dnsenable.com.
abdullahbaba.istanbul.	3600	in	ns	us.dnsenable.com.
abdullahkigili.istanbul.	3600	in	ns	ns29.domaincontrol.com.
abdullahkigili.istanbul.	3600	in	ns	ns30.domaincontrol.com.
abrakadabra.istanbul.	3600	in	ns	donald.ns.cloudflare.com.
abrakadabra.istanbul.	3600	in	ns	ziggy.ns.cloudflare.com.
abskaplama.istanbul.	3600	in	ns	ns1.guzelhosting.com.
abskaplama.istanbul.	3600	in	ns	ns11.guzelhosting.com.
abskaplama.istanbul.	3600	in	ns	ns12.guzelhosting.com.
abskaplama.istanbul.	3600	in	ns	ns2.guzelhosting.com.
abstract.istanbul.	3600	in	ns	eu.dnsenable.com.
abstract.istanbul.	3600	in	ns	tr.dnsenable.com.
abstract.istanbul.	3600	in	ns	us.dnsenable.com.
abuja.istanbul.	3600	in	ns	ns47.domaincontrol.com.
abuja.istanbul.	3600	in	ns	ns48.domaincontrol.com.
acartekstil.istanbul.	3600	in	ns	aaden.ns.cloudflare.com.
acartekstil.istanbul.	3600	in	ns	stevie.ns.cloudflare.com.
acartextile.istanbul.	3600	in	ns	ns19.domaincontrol.com.
acartextile.istanbul.	3600	in	ns	ns20.domaincontrol.com.
acc.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
acc.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
accessible.istanbul.	3600	in	ns	ns13.domaincontrol.com.
accessible.istanbul.	3600	in	ns	ns14.domaincontrol.com.
account.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
account.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
accountants.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
accountants.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
achotels.istanbul.	3600	in	ns	ns-1013.awsdns-62.net.
achotels.istanbul.	3600	in	ns	ns-1169.awsdns-18.org.
achotels.istanbul.	3600	in	ns	ns-1839.awsdns-37.co.uk.
achotels.istanbul.	3600	in	ns	ns-210.awsdns-26.com.
acikhavagosterimerkezi.istanbul.	3600	in	ns	ns1.turkticaret.net.
acikhavagosterimerkezi.istanbul.	3600	in	ns	ns3.turkticaret.net.
acikhavaharbiye.istanbul.	3600	in	ns	ns1.turkticaret.net.
acikhavaharbiye.istanbul.	3600	in	ns	ns3.turkticaret.net.
acilcilingir.istanbul.	3600	in	ns	ns1.hostingdunyam.net.
acilcilingir.istanbul.	3600	in	ns	ns2.hostingdunyam.net.
acilisorganizasyonlari.istanbul.	3600	in	ns	ns60.kebirhost.com.
acilisorganizasyonlari.istanbul.	3600	in	ns	ns61.kebirhost.com.
acilsatilik.istanbul.	3600	in	ns	ns1.turkticaret.net.
acilsatilik.istanbul.	3600	in	ns	ns2.turkticaret.net.
acronis.istanbul.	3600	in	ns	ns1.natrohost.com.
acronis.istanbul.	3600	in	ns	ns2.natrohost.com.
actual.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
actual.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
adamo.istanbul.	3600	in	ns	adamo1.netuv.com.
adamo.istanbul.	3600	in	ns	adamo2.netuv.com.
adasigorta.istanbul.	3600	in	ns	ns1.ereey.net.
adasigorta.istanbul.	3600	in	ns	ns2.ereey.net.
adba.istanbul.	3600	in	ns	ns1.turkticaret.net.
adba.istanbul.	3600	in	ns	ns3.turkticaret.net.
adco.istanbul.	3600	in	ns	ns1.turkticaret.net.
adco.istanbul.	3600	in	ns	ns2.turkticaret.net.
adco.istanbul.	3600	in	ns	ns3.turkticaret.net.
addres.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
addres.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
adeka.istanbul.	3600	in	ns	ns1.natrohost.com.
adeka.istanbul.	3600	in	ns	ns2.natrohost.com.
