gal.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2509110038 7200 7200 604800 900
022vusoimokfvsp6i0nipc4tnd2ucm1t.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. UHIXqmhdYXjX5ExPo8EXVXDfottHyGzsuwQFobluhSk9eibbtfTirVtWU3Ww/qc0GVDmhMQekQ9xQ79SgAJZDwc3TgiSN+GWMzlCsq6OewGJuoAsx2u0aqslx1WI9c02BV8iSjw/SznI94PppeNUenaLlJOSHgzDgPn+nUzcjfmZfVbdMHXHV9OSlWKXJ9hfF8dxA/n/w4YVJa2vKBsX1g==
02ajs291rdfja31sic7lip617072jkca.gal.	43200	in	nsec3	1 0 0 - 02CJOFJH6VAN2BM85DUG85QO6B2JIIGQ NS
02ajs291rdfja31sic7lip617072jkca.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. Mu2+/lIah2EyNYVyCC6HhXX5vIAXFZR1EAPucDMZE5Y3NWN1Ir0oZmdYCZ3oVjVE5b75ROywIfMkFBpwMtNy067VNS+um4XEXfp2rNzn35htbmymhpAfsVp4AUAoh5iOO1nwIit5Wm1xUkIHciga2IS8bRM7xrxtxDYBt/31KlH9qKe+S8pZy5iZ8g+vaLwvLhcAqFcJzqfr/eyIk+UGjQ==
02cjofjh6van2bm85dug85qo6b2jiigq.gal.	43200	in	nsec3	1 0 0 - 02E2AEHMCH883TNUMVOVNIOK62VQ15U3 NS
02cjofjh6van2bm85dug85qo6b2jiigq.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. TPx/89agU5BzmdVUwkE1djFlaOq4inu50SeckyeTdFXu/wk1xiuEFeSLFmWL/oNhveiNUNFNIAr/0ohzHHz3dCbm0nY0tf1yyfWIBIE01+uUKq8zyWzbFJ2bmBHtXKMsOoIcyNd8+N7o5qP+XEIE8kIy24r8jtf/ygGmto92i6nlhsiNQi4JlN+lir6OSnwzgURrBd4JgnyhMcmLqwqLkg==
02e2aehmch883tnumvovniok62vq15u3.gal.	43200	in	nsec3	1 0 0 - 02M4KD69LLAOL8781DGKKOS22UPDQMM5 NS
02e2aehmch883tnumvovniok62vq15u3.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. EAGhi2AebIXIYgRcNalZoGTR/LJoxVkc/FfqLN0aAHUXiyflgT9lOisfRbhxwImR7lEUqFZ8Lih01zbjNaNkujXNLBozSh0rFEofvvgmOnEiBPeH4JcRAEhNimz/eOiHR5ba7ipqVT3Tpeyz8KHOS1jXZ4nXpAiUWQ2JxEX7i/aHTIXeGPHKbkNvtN97nhdbnPFpSZ71C3N1Xo3uqduWqQ==
02m4kd69llaol8781dgkkos22updqmm5.gal.	43200	in	nsec3	1 0 0 - 02PFD019N5FIFSUO0V8V0461MTEM5HTD NS
02m4kd69llaol8781dgkkos22updqmm5.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. uPVFVwh+jrJ2hIjNeDNP70hZ9adXmF7F4AE86k5tyPlhy01+y44CGq1tjBmVyKaCA+vVW+VezGiQ4E2eUhI1WK9oywJjVnaxO5jo6IXXFKulm3Se1tPIR1V0QM21hHuw3o0vnRvu+3x6PnsJHJXVTfjIpWijy7P1UEzbdLr+73h08aUCn5jpvyrwAZwDxD8O1jEPXjWFLtRODoSHLF6BGA==
02pfd019n5fifsuo0v8v0461mtem5htd.gal.	43200	in	nsec3	1 0 0 - 02S6B33TBP6AAI46JOS608N0MNREH23S NS
