1865.dentist.	3600	in	ns	ns13.domaincontrol.com.
1865.dentist.	3600	in	ns	ns14.domaincontrol.com.
1fv407eq2c7qcunkg3dv8vjnrc1gb0kd.dentist.	3600	in	nsec3	1 1 0 73 1NT93AM4KM949AMVCHOL4HQCG8HUPS03 NS DS RRSIG
1fv407eq2c7qcunkg3dv8vjnrc1gb0kd.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. dj+pUXnZ+aezncf5DQkUUyXluhvPSxdRxCsci8+kUyrbHvcUyxCtOBmfWiXipYEAXpNCxyNWojV+oBKjszDLqQPQ0MBNrq1hU4G/s3dSoPIg6gn0AtcA0R7IJ3k668neQfDB9BDF/luhM2BeGi8t4SazrGljuOrt/OQqNiIVPFE=
1nt93am4km949amvchol4hqcg8hups03.dentist.	3600	in	nsec3	1 1 0 73 20C80QNLU374FLAKDDKGD8KUNCMBSS4V NS DS RRSIG
1nt93am4km949amvchol4hqcg8hups03.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. NldcSuzC0FbBhhK95SePkJ6lgHJYgSKo+7ABDf+g3eJiDI0VzflKH5TU2Py5Ann/pJ01Hv1ShLRkTkMSc9NY7GNh78rCmIvi+WMAF6UjdGJO9Uuw4fFqPGBNOxdrZ3ssr+JaP9mnDqx1WcSIHEJaiBxV9VNVhzVRqSeT210cXVc=
1st.dentist.	3600	in	ns	ns1.atom.com.
1st.dentist.	3600	in	ns	ns2.atom.com.
2-minute.dentist.	3600	in	ns	ns17.domaincontrol.com.
2-minute.dentist.	3600	in	ns	ns18.domaincontrol.com.
20c80qnlu374flakddkgd8kuncmbss4v.dentist.	3600	in	nsec3	1 1 0 73 22BGBQ0PFG5UL361USU2CFQHIOHIG3CS NS DS RRSIG
20c80qnlu374flakddkgd8kuncmbss4v.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. Z+w++JwfdXmszeApAwquVaH5z2F+Un/i5MKWUtNzpR8z5TWbJIP5XbyyacQcsBtOMMzYLPnFX+j96L+QB6fY3NbZA+6MHaTEM4Evca8F61UnszTC5Hz4wsox8rTu6zEuYMV45wiZStotDo3/sdikjIM2J8NCPwpuNm3wumA8cUE=
22bgbq0pfg5ul361usu2cfqhiohig3cs.dentist.	3600	in	nsec3	1 1 0 73 27JJHA4R671FBG0O31CO0KVIJ1LQ7PBK NS DS RRSIG
22bgbq0pfg5ul361usu2cfqhiohig3cs.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. MvfC3J3QgrPO+3hqaPCLSU8zWwmhiOVJtTCwNE7ScMyPlMXUaUMU8xlYIEB+1qab6pkMBXGtiVhwNZT3nWp41MN+CpMkkZMVWfndwyswfsz3ipWXKQNIApQu8XLaJ4xxFjerEvKDqA71KgsOm/NEE5gDG1zV57hnnhlgvL0YKXc=
247.dentist.	3600	in	ns	curitiba.ns.porkbun.com.
247.dentist.	3600	in	ns	fortaleza.ns.porkbun.com.
247.dentist.	3600	in	ns	maceio.ns.porkbun.com.
247.dentist.	3600	in	ns	salvador.ns.porkbun.com.
24hr.dentist.	3600	in	ns	dana.ns.cloudflare.com.
24hr.dentist.	3600	in	ns	sam.ns.cloudflare.com.
24x7.dentist.	3600	in	ns	ns09.domaincontrol.com.
24x7.dentist.	3600	in	ns	ns10.domaincontrol.com.
27jjha4r671fbg0o31co0kvij1lq7pbk.dentist.	3600	in	nsec3	1 1 0 73 2JHR08R6JN6C0DI8UV2PMJ9OQ558D4MC NS DS RRSIG
27jjha4r671fbg0o31co0kvij1lq7pbk.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. BTeoLik3FZqk8JcDwDNQYS8LFe2dh4gn8FqLodhFZAcg4Wk9pniaWID70BcjHpK5nQoyQOJ5LnARzbLtoBspdypECgDbG/fLDy91bpPxQQm2Ly95hnbxkZUoeNN8Wzlz4jqbZlmboGlGwl8vni3XtwtXffhEpRgMTr8PWouQqNQ=
2jhr08r6jn6c0di8uv2pmj9oq558d4mc.dentist.	3600	in	nsec3	1 1 0 73 342JVN9ISV2V4VO3PRLV8N9VPS2TL52E NS DS RRSIG
2jhr08r6jn6c0di8uv2pmj9oq558d4mc.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. ONg7fhjwRHS4i7s8kFZF1+/p28lMoirSxHjbS5DIgyrHesltCMSKkK+FrXY0KjmfFOhzLywgBlqOeddeB9i7XzPN8sbMZULKIdiPo73EYmsi/x7ik1Op0Rmw6favwl/zfEw1zYXOh3F5m8ICCE9HvLCZu7uztUnkMj43X9BiPzo=
2minute.dentist.	3600	in	ns	ns13.domaincontrol.com.
