0sf3d2gdmu0jep2pgbgn7j1q5k07mibh.shopping.	3600	in	nsec3	1 1 0 73 14FLFG4LTAR6TO9UQBORT2E3MJGI995E NS DS RRSIG
0sf3d2gdmu0jep2pgbgn7j1q5k07mibh.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. k3FlSWsDdvMvR+1p9cyqpzF1pbWT03lA9SnDSFBYiTN5eVkzjvNHEqe996QrGhrjPlK3h2ZOOffOwizEF98Nv91YwgSqNd7VNSAlFyk2o4nWdcMbkkdd1vdFXnqDLiUko5pw+hk2xU4wCI8JGaNLoS3EVk8t2OD8IS2AchnI82c=
1.shopping.	3600	in	ns	ns1.crazydomains.com.
1.shopping.	3600	in	ns	ns2.crazydomains.com.
100.shopping.	3600	in	ns	ns1.atom.com.
100.shopping.	3600	in	ns	ns2.atom.com.
1000.shopping.	3600	in	ns	ns.dandomain.dk.
1000.shopping.	3600	in	ns	ns2.dandomain.dk.
1001.shopping.	3600	in	ns	ns6.wixdns.net.
1001.shopping.	3600	in	ns	ns7.wixdns.net.
10010.shopping.	3600	in	ns	dns23.hichina.com.
10010.shopping.	3600	in	ns	dns24.hichina.com.
101.shopping.	3600	in	ns	ns1.dyna-ns.net.
101.shopping.	3600	in	ns	ns2.dyna-ns.net.
1024.shopping.	3600	in	ns	cora.dnspod.net.
1024.shopping.	3600	in	ns	wanda.dnspod.net.
103.shopping.	3600	in	ns	ns1.nameserver.net.au.
103.shopping.	3600	in	ns	ns2.nameserver.net.au.
103.shopping.	3600	in	ns	ns3.nameserver.net.au.
10y.shopping.	3600	in	ns	ebony.dnspod.net.
10y.shopping.	3600	in	ns	mackerel.dnspod.net.
11-11.shopping.	3600	in	ns	augustus.ns.cloudflare.com.
11-11.shopping.	3600	in	ns	laura.ns.cloudflare.com.
1111.shopping.	3600	in	ns	ns1.atom.com.
1111.shopping.	3600	in	ns	ns2.atom.com.
11bet.shopping.	3600	in	ns	ns1.dns-redirect.com.
11bet.shopping.	3600	in	ns	ns2.dns-redirect.com.
1225.shopping.	3600	in	ns	dns17.hichina.com.
1225.shopping.	3600	in	ns	dns18.hichina.com.
123.shopping.	3600	in	ns	ns.udag.de.
123.shopping.	3600	in	ns	ns.udag.net.
123.shopping.	3600	in	ns	ns.udag.org.
12315.shopping.	3600	in	ns	alfred.dnspod.net.
12315.shopping.	3600	in	ns	linesman.dnspod.net.
12315zg.shopping.	3600	in	ns	ns1.dyna-ns.net.
12315zg.shopping.	3600	in	ns	ns2.dyna-ns.net.
1234.shopping.	3600	in	ns	ns1.dns-redirect.com.
1234.shopping.	3600	in	ns	ns2.dns-redirect.com.
123b.shopping.	3600	in	ns	bill.ns.cloudflare.com.
123b.shopping.	3600	in	ns	gracie.ns.cloudflare.com.
130ansgalerieslafayette.shopping.	3600	in	ns	ns1.safebrands.fr.
130ansgalerieslafayette.shopping.	3600	in	ns	ns2.safebrands.eu.
130ansgalerieslafayette.shopping.	3600	in	ns	ns3.safebrands.com.
130ansgalerieslafayette.shopping.	3600	in	ns	ns4.safebrands.org.
130ansgalerieslafayette.shopping.	3600	in	ns	ns5.safebrands.tech.
131.shopping.	3600	in	ns	ns1.digitalocean.com.
131.shopping.	3600	in	ns	ns2.digitalocean.com.
131.shopping.	3600	in	ns	ns3.digitalocean.com.
14all.shopping.	3600	in	ns	parked.g1-dns.com.
14all.shopping.	3600	in	ns	parked.g1-dns.one.
14flfg4ltar6to9uqbort2e3mjgi995e.shopping.	3600	in	nsec3	1 1 0 73 16KDQHQ49U6QK09KKSUP9T9P051G7B1H NS DS RRSIG
14flfg4ltar6to9uqbort2e3mjgi995e.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. SWH8vMSG54QGZhcQ7vc1CWkzKJAyYuFeww4To0I/v167e1VzgScBcUwnqFsjOWYP3vwxLI/0ksuai0o1jLOQO9+Za9y2LdU0p5Hpoic5kwMH2QDLFAL8L4ndDhvWNa/mMEaACOtwMFQdXF0mAtqys8JZadGELzaReD/kcJ1raNI=
1588.shopping.	3600	in	ns	dns10.hichina.com.
1588.shopping.	3600	in	ns	dns9.hichina.com.
1688overseas.shopping.	3600	in	ns	dns19.hichina.com.
