08ndq6vp6asl5uv96off6gpf2b5kjam8.luxe.	900	in	rrsig	NSEC3 8 2 900 20250905090140 20250822080720 1560 luxe. ENhLqzC6AHrkUA6CSL0p4/cbEnZgWpxx/eJchzDnGDHcfQ9ZA90DEcsj2hA13zJUe2qKHXdxtQ2kvM9I3bYLLY9eloXLjQpueLFtzYeOmsfq+JSurQ0TVLAODD1GHHzbO6Mya3L9RhDFzufp1Ym5RyfiO7gEQ0Hk0a48V3httyNNJEFb8DfVa618xwb/fHDcNUIgv2+Q3cIgtMtX5bVfQg==
09.luxe.	172800	in	ns	ns1.eftydns.com.
09.luxe.	172800	in	ns	ns2.eftydns.com.
09021.luxe.	3600	in	ns	expire1.gname-dns.com.
09021.luxe.	3600	in	ns	expire2.gname-dns.com.
09039.luxe.	3600	in	ns	expire1.gname-dns.com.
09039.luxe.	3600	in	ns	expire2.gname-dns.com.
09185.luxe.	3600	in	ns	expire1.gname-dns.com.
09185.luxe.	3600	in	ns	expire2.gname-dns.com.
09291.luxe.	3600	in	ns	ns1.dyna-ns.net.
09291.luxe.	3600	in	ns	ns2.dyna-ns.net.
0cd7y.luxe.	3600	in	ns	cameron.ns.cloudflare.com.
0cd7y.luxe.	3600	in	ns	ivy.ns.cloudflare.com.
0dipt.luxe.	3600	in	ns	hans.ns.cloudflare.com.
0dipt.luxe.	3600	in	ns	sharon.ns.cloudflare.com.
0grqghhf6ppu56vj482mbbd7sv0194eo.luxe.	900	in	nsec3	1 1 0 - 0MN077K9NV584A7E29LGGVOUGEQSJTCJ NS DS RRSIG
0grqghhf6ppu56vj482mbbd7sv0194eo.luxe.	900	in	rrsig	NSEC3 8 2 900 20250905090140 20250822080720 1560 luxe. WMKB6AKYXyYhVkZ0lyoKr5KT7llzvE3afybvQiPbidPPv6M34hETRP00gBRSW+durPFwvgakH7Fi6ta+Vdc+wb862ai9uv4mgM0hZP3cjUmCA7oDYGRW8tj3n0nAZZ12U3pEaH/T1P0bcJ/1xBIBHs6pht7PGlHD7mQ5DHO6qyukckJMagD97yPbyZTLGIsJBMjE4aQ8t192wThBzt6DGw==
0kgwj.luxe.	3600	in	ns	cameron.ns.cloudflare.com.
0kgwj.luxe.	3600	in	ns	ivy.ns.cloudflare.com.
0mn077k9nv584a7e29lggvougeqsjtcj.luxe.	900	in	nsec3	1 1 0 - 0QNE46PJEUQ4ET0G6R2PDLL9H7UOIPV0 NS DS RRSIG
0mn077k9nv584a7e29lggvougeqsjtcj.luxe.	900	in	rrsig	NSEC3 8 2 900 20250906230024 20250823220853 1560 luxe. hO8M4NIDCJnDewv39md3kteCAXK4j9sQqOmJC+AOKqeTNabO9Y7h4Q+ACN3RZv6tN4hudJP+aXLjE85r7Fsmimnsn0Q4x5W2w8VelLLy1pk2e8QVxUcy7lvMVLBEzCm+K2RgbasIdUENAj6WdvI9JFKXeAt6Dw+GzbGKjmjSsnm0qs3qU8oliBVeHHlWdr1+dnL3Z8BBlrtRfXyCvB+sRQ==
0n9zw.luxe.	3600	in	ns	james.ns.cloudflare.com.
0n9zw.luxe.	3600	in	ns	zita.ns.cloudflare.com.
0of5a.luxe.	3600	in	ns	cameron.ns.cloudflare.com.
0of5a.luxe.	3600	in	ns	ivy.ns.cloudflare.com.
0okfm.luxe.	3600	in	ns	cameron.ns.cloudflare.com.
0okfm.luxe.	3600	in	ns	ivy.ns.cloudflare.com.
0oswi.luxe.	3600	in	ns	james.ns.cloudflare.com.
0oswi.luxe.	3600	in	ns	zita.ns.cloudflare.com.
0qne46pjeuq4et0g6r2pdll9h7uoipv0.luxe.	900	in	nsec3	1 1 0 - 0RT7AV5O3VO013RTO5SOLHQDRU7DDHUF NS DS RRSIG
