0lp9cj8s7iu8sk12i03ce7goh6vsjdhm.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0O5CDNTKFUS6L1OUALCSV79ALH9F7QHH NS DS RRSIG
0lp9cj8s7iu8sk12i03ce7goh6vsjdhm.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. CfAA676LKy0HYTFenX4QkG78WKmk2XJOXV4LGIUDQCkMcOdDeR93a1bFpeBhDfoOykSaeSEk+cr1walLNkPBg6IQyD2jCfcvpC150PfLybhYjsel5Dt7f0qJpfQNWZCpLDtCAVH+YOyUBPSWy8YbHFus/fh/83hRIQ3LvZg5dQ0=
0o5cdntkfus6l1oualcsv79alh9f7qhh.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0R87TU418BF2K7EHA27JF6ESMJICHILH NS DS RRSIG
0o5cdntkfus6l1oualcsv79alh9f7qhh.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. b7JtXIJ+Hyon8cneYyl7c9XZcX8RXteEt8PTDEPxSOdDHfNCckdtyN+mCBvWbl1p3x3foCZ/eKOYRJlaT+0yBztTEpqOMjV6nDCn5sN1Ko6lwtEFHzY3zi2VZBu8duoA0/8Mg9kewFoQOiCzYCyqau4/RxP48aAxOu76p11ihyE=
0r87tu418bf2k7eha27jf6esmjichilh.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0SLPG283CS6LMS9CSPF2HFC9FU88P902 NS DS RRSIG
0r87tu418bf2k7eha27jf6esmjichilh.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. d5+1sFefCaJD3F4gKz6jWUVjMeC86EeqrE67bz6LXnJ4kkjW5tyge+OEqQVKcQogMA+QKLBlOAtZD1fWCFA7P+p2PIMG+pt8uZILocKEBHfb625EInF/SEUITayjq3QxE6ebiCx0rlk1LI/AMHfT3zgjEBh3Mbvf5QbKzrwnMKc=
0slpg283cs6lms9cspf2hfc9fu88p902.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0T3AKJ55QJ2PJ5K3D1RIJDPRAJ56KK3B NS DS RRSIG
0slpg283cs6lms9cspf2hfc9fu88p902.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. LZbo3WzzK3dUUdP6p6VOci/gif2u3fP0XLQOfuu8S+2/WIMShC3B60XNCSU0COXpaguOrlkTaOCdtBA86Of0qnBU3Dnsjj8IEDcq6jh0qXRy+dairvMLJ4Xugd5Z2+I3P3WczK6fHmu4RALG/6saCVsBpJ/IHpwjSvSh1cLuUH8=
0t3akj55qj2pj5k3d1rijdpraj56kk3b.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0T8D3LVEASOQCAQPM6S1RVV21TR1JM45 NS DS RRSIG
0t3akj55qj2pj5k3d1rijdpraj56kk3b.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. oc3AiCh0bDsfYTEbIgilI2vIkGZZwYEjbXxjjbu/KbikR/4YUk0ZaPdO7mJxqQRN9H6cbBLTicPvwIp2meo/9GzYLYXKwsPL8Kb8zG9HMWzlO4Ao+Km1QxB9MuvR2GHkgNx7Oeja8zt31/RGfALHUJu2ogOzICAzrrthOE+QtEU=
0t8d3lveasoqcaqpm6s1rvv21tr1jm45.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 12S2S3JKLDEVSOHOR68DMHHBMCSSQG4R NS DS RRSIG
0t8d3lveasoqcaqpm6s1rvv21tr1jm45.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. LTiznThrua0uUMOo1/hgrGv8tdzlzOPngg/9IdTT6WoB7IY9PKErWjVpGQuxjMvYBIoN46FZGPPNEGuCkgAeag4A4J8Ur6rJzJxsAyi84wjq0sw0WwcRJZ9wsUeMQWxnX0pCrRjQNYIvcUXG8fmFc671foAPTI+r2P8WLplktIY=
0x.charity.	3600	in	ns	dns1.registrar-servers.com.
0x.charity.	3600	in	ns	dns2.registrar-servers.com.
100.charity.	3600	in	ns	ns1.dan.com.
100.charity.	3600	in	ns	ns2.dan.com.
100c.charity.	3600	in	ns	ns15.domaincontrol.com.
100c.charity.	3600	in	ns	ns16.domaincontrol.com.
101.charity.	3600	in	ns	dns1.registrar-servers.com.
101.charity.	3600	in	ns	dns2.registrar-servers.com.
104.charity.	3600	in	ns	ns57.domaincontrol.com.
104.charity.	3600	in	ns	ns58.domaincontrol.com.
123.charity.	3600	in	ns	ns1.sedoparking.com.
123.charity.	3600	in	ns	ns2.sedoparking.com.
123b.charity.	3600	in	ns	garret.ns.cloudflare.com.
123b.charity.	3600	in	ns	gwen.ns.cloudflare.com.
123movies.charity.	3600	in	ns	curitiba.ns.porkbun.com.
123movies.charity.	3600	in	ns	fortaleza.ns.porkbun.com.
123movies.charity.	3600	in	ns	maceio.ns.porkbun.com.
123movies.charity.	3600	in	ns	salvador.ns.porkbun.com.
123win.charity.	3600	in	ns	dns101.registrar-servers.com.
123win.charity.	3600	in	ns	dns102.registrar-servers.com.
12s2s3jkldevsohor68dmhhbmcssqg4r.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 13RCLUIN33LCJQKEJHLUHMBSHEOFVH8O NS DS RRSIG
12s2s3jkldevsohor68dmhhbmcssqg4r.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. dIn0vHtKKwfN5G45C6zqKwJcsFaXbDNqC02G+x6CyjDlhtK+l5DusZzLvsTiGGoEHGA8HVNzBziTJ61hc0IrgT1EGSygF32MFV+kPRnrlJgHnZATnhZNRK5d8qWhk06JUc6sMSL8dw0A5lVJGUBtNFmANEj+gLaXlMr86jciGxM=
13rcluin33lcjqkejhluhmbsheofvh8o.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 17U0Q76CDN6UO3ELECGI4SE69CBF1UK5 NS DS RRSIG
13rcluin33lcjqkejhluhmbsheofvh8o.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. S6Z+yTzCHkt/aZhVYs5opAttigWn5BfxDvS/DSCVhF9YuypHHLW30PwrsBwPuMVHBjjqvJp31s4CXh+pZhR2BAhUUcxoHFECtvhs60s/NdOMKLT3yGcPUJ/+vkA9afpGP4QHK+ZU1tmv3BFN90HDE2fASjL8knSbZywBb3DD96E=
1492.charity.	3600	in	ns	dns1.liberationtek.com.
1492.charity.	3600	in	ns	dns2.liberationtek.com.
1492.charity.	3600	in	ns	dns3.liberationtek.com.
14pj6.charity.	3600	in	ds	4029 13 2 C4FF69B1E54D228FDFC0C0AB6FEEF092486EDBBB03EE76BFD67F1D156E9FB959
14pj6.charity.	3600	in	ns	launch1.spaceship.net.
14pj6.charity.	3600	in	ns	launch2.spaceship.net.
14pj6.charity.	3600	in	rrsig	DS 8 2 3600 20250916152409 20250826142409 31728 charity. WHpJXwH53gaRn76krxnNgFHvmOHqzzHPpEgszssQiLd/QEqBA5ggR7F2KIGTQwVceK6akbRFGxiHwAoe1F8+KDgqdIyNx992RQLvpzraDAXIQcw8vwwb74Nc0U1fYExRgPuBSI2Ah7iY5BiHl0X234DQvnIkxgmRSa423Wclfpc=
168galaxy.charity.	3600	in	ns	ns1hwy.name.com.
168galaxy.charity.	3600	in	ns	ns2lns.name.com.
168galaxy.charity.	3600	in	ns	ns3dgr.name.com.
168galaxy.charity.	3600	in	ns	ns4lrt.name.com.
1717.charity.	3600	in	ds	2371 13 2 3BF557E6F91AFA1786B45C28247A1C5AE7449D047E26C98FED9D95C9935B787A
1717.charity.	3600	in	ns	olivia.ns.cloudflare.com.
1717.charity.	3600	in	ns	west.ns.cloudflare.com.
1717.charity.	3600	in	rrsig	DS 8 2 3600 20250916152409 20250826142409 31728 charity. GIC+PDH2hEzxIDv5MiqMzS7Tz2/oeAe0aYbsHY2Edl7NhBmogdHGtLpr8+/3JFxMprSFUB8x+gk5Fn4Lms6IDcP+hZqErtOv6jY3x3rsY9JGwASUdjY76bDrl5HG9yybd3zWvSV46UlOI95IzWLWrY4c0Lxn7aSxNu+clWCtldQ=
1776.charity.	3600	in	ns	ns1.linode.com.
1776.charity.	3600	in	ns	ns2.linode.com.
1776.charity.	3600	in	ns	ns3.linode.com.
17u0q76cdn6uo3elecgi4se69cbf1uk5.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1B7DLNJBT7U4SH0UESJ81GMMHT5G7Q7H NS DS RRSIG
17u0q76cdn6uo3elecgi4se69cbf1uk5.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. BCIAdF9jb1OSJUJoDEUtzQiDMRA4kw5PNXEg6u4z517XRv84Amt5Ajnesbwnv2gl5keunOFy2B826Gn5w1H8J8KAAItfwukLqRI3yDIX+sEFwCPrZsDArEA7sQXASlGFXMJZoUv1HnXlKDoKC3GLJ81je2Iy3Cz24FJz6VXqpEY=
188bet.charity.	3600	in	ns	pdns95.ultradns.biz.
188bet.charity.	3600	in	ns	pdns95.ultradns.com.
188bet.charity.	3600	in	ns	pdns95.ultradns.net.
188bet.charity.	3600	in	ns	pdns95.ultradns.org.
18win.charity.	3600	in	ns	curt.ns.cloudflare.com.
18win.charity.	3600	in	ns	kami.ns.cloudflare.com.
1b7dlnjbt7u4sh0uesj81gmmht5g7q7h.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1C7U2I1P7BVPDI7IQHQ8ISF4788G52ST NS DS RRSIG
1b7dlnjbt7u4sh0uesj81gmmht5g7q7h.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. F1y3Qv2hnCKNOO3jSPlp9qfy8q4PMSBfQHEr+E2W/TbPEaqBA/dx2JuxCjr095+MLi27PAVs3rfHIrK15BUFFbexywAF4dQISvh26ohGf69yjYits8g9lcDGuwBIDZnvyHAIkcE9SgxWxMQsgDHH8IDqJZjSlAXH54tznaFrNUo=
1c7u2i1p7bvpdi7iqhq8isf4788g52st.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1CN3BCOIIIIEEDRFBUAUB8EKQEKJ35EJ NS DS RRSIG
1c7u2i1p7bvpdi7iqhq8isf4788g52st.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. BTGo9GnfrT4IlhvoRwZVCe0CJWE3fAHiEkwotruq9hbJN0qVOE7sN1JwMiXDfFJgbveoBz4YqpXkSmQd1xbwUA8JeeEnfmUaBYKrAIsozMLbB6r2boLO+dlUpjLuv5eS/ballmBctwPeB93QWdJY/hLjBls2R4Ebwkwob4E3jTQ=
1cn3bcoiiiieedrfbuaub8ekqekj35ej.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1H3D4LL3TCQ0C1T3FEANUIFJJHSPEMLB NS DS RRSIG
