barcelona.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601241559 7200 7200 604800 900
01ub1goq5t45gp96bum5dbi1vl0jjm70.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. xJIcCM/U97bjqyIVirXxqFqynB9fa3yU0nfRV8K4USYd9TzV/yB8TJuybxyMvZ4nVza6GocllqiO8MrCdrv1MkX9ZWUZ92wZLufK8NJO2lwBnhR8lPsmAQiS3eoEHfbfhiYv06GwYRC7FImGGl7/B5S1sS9oPbd314fN5liVk059P+Vsqqy5sTy1b6VVguiBYVbKBukIvkc8Ths4VLNYiw==
025n780hp7qpck058dielq97o0tmejic.barcelona.	43200	in	nsec3	1 0 0 - 02PREC9H0IDUQ5S8A7DFNFUJ8R651QR4 NS
025n780hp7qpck058dielq97o0tmejic.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. gG9AfmYE4XUxqrLTczkxpYGMnoq8fOxLZp4k+V6p4tPU2m34ct9y9YzfujbAH4DLMYF8GPKZmVbd+2pCOKYpwDYmz9TqrI7/3UYeQfqAiG3D5qbj5cFGa6ZF0LvhZJpPsHH+KcwKv+etcioqgVlz+1YAi9jaRs0vK+07jbxoNKJJ9Nzli43ijLRPgUJl427KKp4RPFmiNFlieV3IIwhwgg==
02prec9h0iduq5s8a7dfnfuj8r651qr4.barcelona.	43200	in	nsec3	1 0 0 - 02QS148A2QN71DLONI2KTRDBPPIKRIHF NS
02prec9h0iduq5s8a7dfnfuj8r651qr4.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. bU66PozVmr11ynrzA2Tx7sfk+VfqnAXBRZlsERjUyinIUsrB5wUUG66uYIujikhX792fFmBqsfadodAEZM29BLyXqyJ8sJ3yRZlsd3IyYCiHMHIOl97uxs2Jhy/2DpQwzkVKdt+RJAOYDbovqeaB4i4vkN8pyo98dUq5iQlUCdGhpJ1DzoFpDcl3fm0bn8L9A3w/3LS6y4Aq6tm8gFhxaQ==
02qs148a2qn71dloni2ktrdbppikrihf.barcelona.	43200	in	nsec3	1 0 0 - 038T4JVT0TEBJMPUDPD6L5O0VLAM7078 NS
02qs148a2qn71dloni2ktrdbppikrihf.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. LSCxDz8mgNPJ9NzvvQhk4j4VvcdGwnnRevTKN2E1doSjoV756OnTzZvF2F6uXRGK3CUpxN3itZkPhW3tFDMslpQfbymSPR79q6Vwbtpjcua7ua7C+QMKhAF81WsprgOTgiWLSntv4C2zHT0BiIIWhB1K7qTkLl7Ja3kQjf8m2Wb3APxrmjjjhRpoVsr4YJUblInUbDOZ6bGudPc1xaJr9Q==
038t4jvt0tebjmpudpd6l5o0vlam7078.barcelona.	43200	in	nsec3	1 0 0 - 03AF06FME2TEGJU63FAUBJDQFRUBMLCS NS
038t4jvt0tebjmpudpd6l5o0vlam7078.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. L3Z2XZqY3j8RjoefT5ueGI6G+UxhI5QJNTBorpAnv+OiitaQHaXcK+DUMVisUuNqWvQXT1tGN0kSwoeoMWNdkX1obGEygzZM3+VGwp6nQYWu708FEhDBOTbzGBUG8lXWa4p9tkCkExemua/mRh7rmS1WJemOOS7NfOpSNgwAmIyTMGFsvjcOkFtwXwdCf9NvuwvzoE5649qoQFMa4sg4Rw==
03af06fme2tegju63faubjdqfrubmlcs.barcelona.	43200	in	nsec3	1 0 0 - 03DHHM1P8OU1BKI61MAGILM8BPGDBURD NS
03af06fme2tegju63faubjdqfrubmlcs.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. HDMYHJPji6azNq1Z8wLSJ4eqbJbdhAjkuSny3YsW/FC2axgnyq1YC0RZn3FZ4PAPMSW0IaKpSVgcYy5ajDtm66YMJNGIZ/ACOZWLpRyERgHXw2lbHLs5T1jKcT6AEliWnKpjZtfZa9IAND3m+sgIVi6H7HHwViMal5nngHyIvXRiEsN1UKW7WUDdg5qkPcdDmCaRXK+kKXp6/+F6GEc58w==
03dhhm1p8ou1bki61magilm8bpgdburd.barcelona.	43200	in	nsec3	1 0 0 - 03E5B09RR1KJQTNV8KNLD11J3P3N423N NS
03dhhm1p8ou1bki61magilm8bpgdburd.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. CfB5CDuO+ExDQrIMYB3rAPgJ4uaarAUKIcd7IBlf/Y6NHrqrriIVonm24Utj9B7+y4At6PrJtVcWikpmjLZOKKsBgFoY+8+rFysU1sqAL/FhoKAkuVbbDgs7CpwaYzh8TXM52E+hzwvrhWoLo4vBNI2hJfrFqzJg5YGbasVheUsC4VxOch9WApyhgD7sCGecnvf8X7zRTWdExIV8xf703A==
03e5b09rr1kjqtnv8knld11j3p3n423n.barcelona.	43200	in	nsec3	1 0 0 - 03R5Q9FK2C0G9V5H8LU0LAVLMB36UNKA NS
03e5b09rr1kjqtnv8knld11j3p3n423n.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. mD2MjTFNpuKA8f47ae2c6D8H354Kb0+TS/LM5zwzl6TUm5PBbZ0QuRW0ixCj0zx+CrLLjMPAxhj548qknlaq5siT0178NFdpK9pS8Ts9k2CmzXlcdht1tfNAdcpoBdtR0wN7lL0Sdcli0DRMK6351Pnr+q9JxdZk0wrHEc5/m59S1KGmFQH3RfLs9mTWMoMRvLc8Ey5SsH4C1pUavg9nnw==
03r5q9fk2c0g9v5h8lu0lavlmb36unka.barcelona.	43200	in	nsec3	1 0 0 - 041GDN259IA403ABILRAA1UENUAQ1RM4 NS
03r5q9fk2c0g9v5h8lu0lavlmb36unka.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. VkMU4qSqLjKO7/6lvoa9chZYlwgBI7ndD+nyXstl4gqUCLVNVr/0IBW1r0m0Aj1Xm+bceWb/korfbW10UFbcqjGJ/Dguch5rlO8kXL0CF3WAC6JykolCd8IyaoBcheMsGyJj089ylxzu2wUlzuq6bUBFM3WWitAvUKBsjre3Ge6TQ3H7LIfq9NLNZST/wkBV/UuTFQcv5JbPYNTkGbdwxQ==
041gdn259ia403abilraa1uenuaq1rm4.barcelona.	43200	in	nsec3	1 0 0 - 044A2FLJQVLRNBKE41TUKSMN2L5HPMMN NS
041gdn259ia403abilraa1uenuaq1rm4.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. TcJ6S+CYhPmR0K8P4vsMeRVdT9790tUJ4BHryzVgeYjJxGGSflx/WMNYq5XbexZBynvngTGdx9ciV9sSqAZLbkFmG/F6jP2N5Er/3F2uQ1lF2Oavz1H+AuPBCJmDURwl8kELyaTI93io/1Yz6CAx4K90ogReqFyCBLpNUFWOQq7jVV3wdI9CPPRFGzX+zS07a7DaewqcqBr2egHkYkCSyw==
044a2fljqvlrnbke41tuksmn2l5hpmmn.barcelona.	43200	in	nsec3	1 0 0 - 049H0DMIJC3NML91ORR8S2OF8J2FKSRM NS
044a2fljqvlrnbke41tuksmn2l5hpmmn.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. 1JR+8+CuKn11L5NpxMIbSpv5hgaFCCUeiPAqp6QNK1gNdEiFL0+QXhje1z02+8cVc8FwGptHlbYNILdoNZuF1P60cePY68kVnTp/38fNGF0qpPlvy3RPQ3EC9xjGmkVHCBrp35Bv2O2PZ64DurRoX5/TRQz92IWGntJBr31i9RV4MUCupij0NjdVIjO0i9/2BoXQEVnB4Pkl40oCg8aKcw==
049h0dmijc3nml91orr8s2of8j2fksrm.barcelona.	43200	in	nsec3	1 0 0 - 04HNCQ3B0FRVDQL0UJFOOLVLKS8QHG0D NS
049h0dmijc3nml91orr8s2of8j2fksrm.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. A7yrR53AWoH7cdNrckACuFjl7TPTnjr0On4U5e9/g8DpJZL2NMePI8gAmrulxJ6I79+70huTnMTxtb+GfGdRxgwbhrCFbKaGkdORDPgW17XKDn4rOuxUbGuH0d+OCLufOUEn5BFMcizqSAwsiXRluN0F3foyfoZc3s95YmgYvmVBihOE8njs3GZ53tEZS/kBK0vm5hQX7lvdMK0W+HJhQQ==
04hncq3b0frvdql0ujfoolvlks8qhg0d.barcelona.	43200	in	nsec3	1 0 0 - 05AGTNSG1MUNUI3LCI3AIQNDNAV9A5AI NS
