0x41.rodeo.	172800	in	ns	ns-1169.awsdns-18.org.
0x41.rodeo.	172800	in	ns	ns-1927.awsdns-48.co.uk.
0x41.rodeo.	172800	in	ns	ns-720.awsdns-26.net.
0x41.rodeo.	172800	in	ns	ns-83.awsdns-10.com.
0xff.rodeo.	3600	in	ns	dns1.registrar-servers.com.
0xff.rodeo.	3600	in	ns	dns2.registrar-servers.com.
1.rodeo.	3600	in	ns	curitiba.ns.porkbun.com.
1.rodeo.	3600	in	ns	fortaleza.ns.porkbun.com.
1.rodeo.	3600	in	ns	maceio.ns.porkbun.com.
1.rodeo.	3600	in	ns	salvador.ns.porkbun.com.
110.rodeo.	3600	in	ns	darwin.ns.cloudflare.com.
110.rodeo.	3600	in	ns	fay.ns.cloudflare.com.
1131sport.rodeo.	3600	in	ns	leanna.ns.cloudflare.com.
1131sport.rodeo.	3600	in	ns	lennox.ns.cloudflare.com.
123.rodeo.	172800	in	ns	ns1.netim.net.
123.rodeo.	172800	in	ns	ns2.netim.net.
123.rodeo.	172800	in	ns	ns3.netim.net.
123.rodeo.	172800	in	ns	ns4.netim.net.
123.rodeo.	172800	in	ns	ns5.netim.net.
123b.rodeo.	3600	in	ns	gannon.ns.cloudflare.com.
123b.rodeo.	3600	in	ns	meilani.ns.cloudflare.com.
123movies.rodeo.	3600	in	ns	braden.ns.cloudflare.com.
123movies.rodeo.	3600	in	ns	nora.ns.cloudflare.com.
12bet.rodeo.	3600	in	ns	cheryl.ns.cloudflare.com.
12bet.rodeo.	3600	in	ns	hasslo.ns.cloudflare.com.
12play.rodeo.	3600	in	ns	curt.ns.cloudflare.com.
12play.rodeo.	3600	in	ns	dalary.ns.cloudflare.com.
13bf145lo1fvt34tji5346fh3gpji2dr.rodeo.	900	in	nsec3	1 1 0 - 171QGU39PI8B56UQ8GBTT4OGIEBF68DH NS DS RRSIG
