00vv3ct6rfgtejde6fh6fe8d570kiibs.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. YT//Uc37DOXPzl11ax/cAyeAscqv0T/TGZAlWxSDXtktg/8STxYtauimBC6r+uUzF5e3wsH/YEkwjyv1FXFAZvHALZQFFv1fF0nJKGFg/u/hr1DRwz1nuOY/P+o+iB6Hrch4ryKASFUauz7f1BOGds1kgCwX4jJdxotJ+sK4tRw=
01.group.	3600	in	ns	pdns13.domaincontrol.com.
01.group.	3600	in	ns	pdns14.domaincontrol.com.
010.group.	3600	in	ns	dns10.hichina.com.
010.group.	3600	in	ns	dns9.hichina.com.
0101.group.	3600	in	ns	dns10.hichina.com.
0101.group.	3600	in	ns	dns9.hichina.com.
0112.group.	3600	in	ns	ns19.inhostedns.com.
0112.group.	3600	in	ns	ns29.inhostedns.net.
0112.group.	3600	in	ns	ns39.inhostedns.org.
0120.group.	3600	in	ns	ns1.xdomain.ne.jp.
0120.group.	3600	in	ns	ns2.xdomain.ne.jp.
0120.group.	3600	in	ns	ns3.xdomain.ne.jp.
0120tantei.group.	3600	in	ns	ns1.gm111.parklogic.com.
0120tantei.group.	3600	in	ns	ns2.gm111.parklogic.com.
013julduif6c4hvhebsmgl9i60h6a4js.group.	3600	in	nsec3	1 1 0 73 0147J63OQPJH48NFLCUAUTSTNSU2PETD NS DS RRSIG
013julduif6c4hvhebsmgl9i60h6a4js.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. eDWoke3fR7XuimFbf7M5yIhV+FYNtcuqclkrowAhCfI3JwymJcM/Tsp/OXzs3C1JnRnqw75f561tHIJCm+7O5VQvw5sEABY7VmV4GXQfDyrw5BgslZ3QxXHybjROBLz0zYuYM8Sk9t2XuWWajffmQqM0TUNr/MiVLt6xa9lETu4=
0147j63oqpjh48nflcuautstnsu2petd.group.	3600	in	nsec3	1 1 0 73 0170B3QPHUERTUQ76U2EODEIFJUV7V07 NS DS RRSIG
