0cf5k4fr30c99qmorn22dmmubd6f5pnq.vet.	3600	in	rrsig	NSEC3 8 2 3600 20250930160425 20250909150425 64050 vet. v+k3yaabBdklnfddpkBqGLh9bkeSQD9orl/E1nMB46bUf1C9d6jHm89dQatHANiVHWjD9zPbLglEZDHW735DN5Dgjx1DQtg2JskHb3s4TaRGfPiHevLjUjBKzH9mdOT0Ut4NsAbuqcpQ0Q6VmObxWIXx9bGZtT779UyQ5+d0rU8=
0e70oe2qovle17upjbcu1sm1bi9rr5f6.vet.	3600	in	nsec3	1 1 0 73 0FREU1BNPEGGS7LUA77BEIJVR62JQAAI NS DS RRSIG
0e70oe2qovle17upjbcu1sm1bi9rr5f6.vet.	3600	in	rrsig	NSEC3 8 2 3600 20250930160425 20250909150425 64050 vet. MJAH2/gLdcMHGHEVAydkPt2x9z7DgSXrl+oTQ1stn7S9FepQcPbSYkRUlvaE0lRY3zE3liwJkuakN9RYOX8MlavJKiwnU7QbbEkL5P6Ejbl5TZR+rR4Zm+5OY1CscZdVmqRydaPo/UJqPhcnFiNzbuGWML41B4pBuPCPxGBiafU=
0freu1bnpeggs7lua77beijvr62jqaai.vet.	3600	in	nsec3	1 1 0 73 0GF60N21DSV6BL3BI8CKE37N3BC87L5K NS DS RRSIG
0freu1bnpeggs7lua77beijvr62jqaai.vet.	3600	in	rrsig	NSEC3 8 2 3600 20250930160425 20250909150425 64050 vet. B1Io+Joo1Jnjfwi/SWGKR2Y9OdLgcJCbKHyR0NuJScbxoHCW5lLQOTAAtbT3uzZkmVhVoJ2DHnnvUdcWD7wcUq0FuXIJ17VB/lSNW9UpoH0Rfmku6OTUI5Ejkyi+IfmIbXBiUfQ4xaN6CdJzBv7r+LqLh3EClMtxfAsHC552bcQ=
0gf60n21dsv6bl3bi8cke37n3bc87l5k.vet.	3600	in	nsec3	1 1 0 73 0I55SPBAHAKS95INCEBMU535CTF2FUS9 NS DS RRSIG
0gf60n21dsv6bl3bi8cke37n3bc87l5k.vet.	3600	in	rrsig	NSEC3 8 2 3600 20250930160425 20250909150425 64050 vet. p2UySBW0NRHWITDSfyHuhohFm+xNNGxPG//vzW4K+Hgl/SBrrW+XCOfa6jrDtsNbZMvU83FsJcprWYk4pg/YIHrEPZJaruJb1Vahayilusx01vbuzZZz6BLgwfh223AFXYigXNQ/jgDDOxpcTAkyF1gvDGvfA3ROI94dh4AHayA=
0i55spbahaks95incebmu535ctf2fus9.vet.	3600	in	nsec3	1 1 0 73 0IKEH29GDBB3OU4MDLO4VS85NJTA8V7U NS DS RRSIG
0i55spbahaks95incebmu535ctf2fus9.vet.	3600	in	rrsig	NSEC3 8 2 3600 20250930160425 20250909150425 64050 vet. a1mtUKx9zfmfazaa7FNAmNxTm2kaw/VsvwnVGthdL5ZUuvgME1L2gkv2CXxvtIF8UfkANri0YUvjcMDWvaK/FVE+Vx+iMxQZB50O03qmUd1F+fjHW0hl9srr+ZInuMQIOIZHsNaWkpLIWOuGWGs3zyPk8Xv/rZOWJEC4txZG5mc=
0ikeh29gdbb3ou4mdlo4vs85njta8v7u.vet.	3600	in	nsec3	1 1 0 73 0KV6L66P5NM1DHFHV6NABP961NS9CQ6A NS DS RRSIG
