0aa8i44msl4kjcua862qgrqlqhcnp6n1.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. eWlmh4WuwKdPoAr/R473XCXb25wFxHAz5HS46FX/moGwo14TKjeN5WYhgyFTvMReaHG4f/tiNB6DCLLNpyLTvtgUVDs9k7vFEtOVVhxoZzwyh6GmBClwjSoogVSPiQ/Z59Jd+Yr4nUAceTUZJDRmvS5eUTAgUuxkCIPFGkzYNbs=
0f0itm6u1jegre2ehqng6jv6tlnibc22.wien.	86400	in	nsec3	1 1 0 - 0H15D84TLPMC993U08GHQAAT9U2P57HL NS DS RRSIG
0f0itm6u1jegre2ehqng6jv6tlnibc22.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. qke+qoy4La8054kEd418TFCSK4KNSRY1XkQohgC84O9qEm23JFJ6ycCQ5MNvyxH9w8xdwc1aRzQ1fH9EuWRosDhSqN2YP451x8L2xSCCHTlKe0NUM2oZ/x81WNW7Y1HRanMFVkJMyfpdgIh6IsnnVRQMLB9dnUbv2TSa7y8izhk=
0h15d84tlpmc993u08ghqaat9u2p57hl.wien.	86400	in	nsec3	1 1 0 - 0LFNAAEQ9I65SSP2DP6OI4B7FOH0NR6N NS DS RRSIG
0h15d84tlpmc993u08ghqaat9u2p57hl.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. oM9yKsoAmCRrzir1Msi+olpVCSUBjROC4ddLYUarjJhusi9et4LpyMBH7Ky7tPxWGCXG6hs4W7LVkGYlbviYPmbRi4C/GcJ9sj7xwUl39iqWetW04AZAARNzZdkxtVDq3TnRA/Vl9SRtuTt7B33O0YInHvoOK/Rd/Za+65zgOdE=
0lfnaaeq9i65ssp2dp6oi4b7foh0nr6n.wien.	86400	in	nsec3	1 1 0 - 0MCJHIL6VTMTRGNU41HM4MUSFA8CK57I NS DS RRSIG
0lfnaaeq9i65ssp2dp6oi4b7foh0nr6n.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. b6JDRMer6zm0ALwZiq2rlOYcL4Z64L01KeWmZJxHuXNZji7yV/jna85lzGVbUlA3ZxvPrn89V/eJtET7yjBHyUyUBKIfrq36ePYsg1zR69O74Ba3AOzFmD0rv10s/IdNYqrv0o+2IFyJZfT2GBqjB23ulpIymzfeTV1/5CeN+dA=
0mcjhil6vtmtrgnu41hm4musfa8ck57i.wien.	86400	in	nsec3	1 1 0 - 0O6QLHOD94FDUI9LURE88LMQRMA9F2LF NS DS RRSIG
0mcjhil6vtmtrgnu41hm4musfa8ck57i.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. BY7JISCBuvVUro6qQ2S4E1g7YuYkC65TmyMslsF6+1M/v+W/Mdudtuj+3ihrNtZ1/XtLzWPkkRN2EZQcRClLxo7W++gIgm5ow42yAP0i5icHuDg+ui3HoQXbCmpflglB8gFVuC0j6c6EFt3oDglf506ahi+m01KlLIaAPYvhHZ4=
0o6qlhod94fdui9lure88lmqrma9f2lf.wien.	86400	in	nsec3	1 1 0 - 0QAJ0BBDLT5D0J7ENMHQVJOIKOABUQDJ NS DS RRSIG
0o6qlhod94fdui9lure88lmqrma9f2lf.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. ktWZoEHEAL4q3+LzJyTGTlT0tNKp7KwVum+tlFuOQdjXvQiu0+J/BkRLEisRfxhiQvOfswvoYA70o0WrLZgd/SnLxesHsoc4dx6/nucglrvcO10WzvVvotw9p4rvn6+5XnRA6iTh1qlFnEQ3AFwDpHw6WaJPXDHswG3nMATSKWw=
0qaj0bbdlt5d0j7enmhqvjoikoabuqdj.wien.	86400	in	nsec3	1 1 0 - 0QV2KELMRHJR33BPARBRBFV8GBD3EE8C NS DS RRSIG
0qaj0bbdlt5d0j7enmhqvjoikoabuqdj.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. OZP55kldEt/uR6cHzUciCS2u8B3D3AvuIlw1OOsCHmiLVRZEHMyNj7XVzA+KEnz2XUE82ND4Jqc6g0I8D5aBJkjrAz8aBbyfPwyvru3/M54HDWaT6dLvpX9hIzT/ZQZTMjbpYSV5nlTLVZnQRzdQmKu41x080qEomgakyi+Mxmo=
0qv2kelmrhjr33bparbrbfv8gbd3ee8c.wien.	86400	in	nsec3	1 1 0 - 12C7CV61GIEEOEE594N2IJQGHO3S858C NS DS RRSIG
0qv2kelmrhjr33bparbrbfv8gbd3ee8c.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. OJKJuKzo8jNUNDKOYmvM4I6CXYoiNeVPnEmXA5xDA9E7c7nlY6Tn5rKA4v6z2qZ5/i1N18D0AR+oiXDqU2eUcTwINaDhXphMT81nePDH5MFXfiFcWYEgq+0Hc2CTyCBihzUtp5XN0IkZPwQ0dAGBO+2LR9wEFbNbrb8KBMSvtkM=
1.wien.	14400	in	ns	anahi.ns.cloudflare.com.
1.wien.	14400	in	ns	olof.ns.cloudflare.com.
