1lkki44v3kfhgtim5p2b0sbaln0bai96.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. nwNIsqzpnmrKjpyPJzyp7e879/oCcczEX6JQGLSQD2tLfaQHhcaHkSNLWkzu6pX6ezpv9rwbV7xcesdJCkljpEtBO/afiri/fijbB+qepTauMfx9tzAocUNaXIMgMCxYrzgSBzahghmh+3m4UdqjtT0TQsS29FSsa9vTIJ6ADDU=
1sculpturespace.memorial.	3600	in	ns	ns1.dyna-ns.net.
1sculpturespace.memorial.	3600	in	ns	ns2.dyna-ns.net.
247.memorial.	3600	in	ns	curitiba.ns.porkbun.com.
247.memorial.	3600	in	ns	fortaleza.ns.porkbun.com.
247.memorial.	3600	in	ns	maceio.ns.porkbun.com.
247.memorial.	3600	in	ns	salvador.ns.porkbun.com.
2r2k0rq8g1veuiov962vdg0h7qia2370.memorial.	3600	in	nsec3	1 1 0 73 370V7ICRD89H8S70SJ04IRN59LOJ2GO9 NS DS RRSIG
2r2k0rq8g1veuiov962vdg0h7qia2370.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. HmZRHGm9CKEjUD1vuosE2e8jyq/YobeBDusp+CacsEErQVH5AOAHxXlbvjgK6KmRpLckvYTiB8l+i0j5P8U7LKWr/gydsafLcLTfNbxwVYs2m715qLI/8GxB98Zyt7fxYlbWpgXaVQy1c9Ksl+9PeG2YGSsNG/zCjcAOzzUHGLg=
340334.memorial.	3600	in	ns	ns1.dyna-ns.net.
340334.memorial.	3600	in	ns	ns2.dyna-ns.net.
360.memorial.	3600	in	ns	ns1.afternic.com.
360.memorial.	3600	in	ns	ns2.afternic.com.
370v7icrd89h8s70sj04irn59loj2go9.memorial.	3600	in	nsec3	1 1 0 73 4GUE6H4IDOHSRPCNVVGO4397FQ4LRV0S NS DS RRSIG
370v7icrd89h8s70sj04irn59loj2go9.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. A1CI2SULu51l9twk4Fc/kcvy3OV584NbhCYR0vupEq5+iQNaBYNh3QESVO1t7pqm5A+KAfM5rx8VKtHOPG/NpgjWPPTdvOgUyF4pljp5vUl4o37rPWE48KoRjhQ3wIyRuwz3OJXByXGOQ0pRLKUu9N40YugiRQRGGIxMUy3R4xk=
4gue6h4idohsrpcnvvgo4397fq4lrv0s.memorial.	3600	in	nsec3	1 1 0 73 4T4TQ3V2NQD3NE8UCEEN12V2D7EUV8PJ NS DS RRSIG
4gue6h4idohsrpcnvvgo4397fq4lrv0s.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. SBUjL82X2eKnCF2xLO3/PBHSMxE3mljUGBMoOEdQHY8W3IZ2GzwnVxjqfP2yXkpu10TmlVo0zLvqqpW2Or3UXlD2fzPu/Q7WvVDKKEDWX6FXeBtisqzAwKIHmMFu9FbPBeguL3tgIhIbqucfUviiWCBiyZQPDn2G4/4/izwjwYQ=
4t4tq3v2nqd3ne8uceen12v2d7euv8pj.memorial.	3600	in	nsec3	1 1 0 73 5TQJM3HE2IF76MCUH329CPD6V7NCIKRH NS DS RRSIG
