04ta0ithjd7rukijcq63ibi2ttnhvg7b.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. YM0GFMq7MhFZ96PJ2NY4pOG3nKoAMN0CgZ3JN7pyZSJQgIAaiVTwDhTIvM3kbhBriIeoN9WQ9v+Le12RwyA/eMjIyW1yRy7Siv5mvVI9vSIgQH0y/4KIky+n+khRS1JZfHr3FUkRz4C8+Ds1j7azSfRoYchIlN05JfJVJHi9tP0=
05.cafe.	3600	in	ns	dns25.hichina.com.
05.cafe.	3600	in	ns	dns26.hichina.com.
050q1smop06favcp2k0lqektnts3h3r7.cafe.	3600	in	nsec3	1 1 0 73 06U6IPFOIQ68420EFMQ56U9VM074O1FI NS DS RRSIG
050q1smop06favcp2k0lqektnts3h3r7.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. Jg3noZsK1g3m1v4V55vjyotoAAWTSkhC7ajaadCJLOzkPxdn28Kb1w07p5OvEoZMZvgXLL/+3lXIr07klNcizOCu3U0k+9Fgz/tLl/t6cJKYyfLk5Z9G3RybesmXbKdBj7q14W8CjtQ1ATp/gZUX/43fB+Y5S7a1AeLrUrHyZ08=
06u6ipfoiq68420efmq56u9vm074o1fi.cafe.	3600	in	nsec3	1 1 0 73 070JDQAUTH2V49739HJ5U6PPP767MJO4 NS DS RRSIG
06u6ipfoiq68420efmq56u9vm074o1fi.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. An2zZ7tx5Lv8qXvfzaCaVRf02lNtatYXbl4UoiMzRY22KFSiKQ4PhNYB+i4Qram9l2fmtav4GPd+vbqp/3zdV7EQuDNrfJsV65Bu2GtmJlRPKlnsGSCYrpU6GzT4SyXLe6idhLJW36PxZiNhn6icaxWUc04x+KinED6cbmcIFiw=
070jdqauth2v49739hj5u6ppp767mjo4.cafe.	3600	in	nsec3	1 1 0 73 089HQF4FMI2GCNRET09FIT6PQT208FTA NS DS RRSIG
070jdqauth2v49739hj5u6ppp767mjo4.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. TJD0AFObpKZBr642WIhWHuEksgiBuWQCbAe4Y2HbT+s1fomLzAEi5t0jk55fbYcMEZzNpAnpaFBjIuikE/a+R2SkwofYbr7uoFDHVmlY5Qxm/hSuowSb0Jeo1RHdPHYf0R55Y5Ps3EaTrH4oMFWTUZXMw/CETPiHvszZEZWrQAI=
0755.cafe.	3600	in	ns	dns31.hichina.com.
0755.cafe.	3600	in	ns	dns32.hichina.com.
07561.cafe.	3600	in	ns	n1.xundns.com.
07561.cafe.	3600	in	ns	n2.xundns.com.
086.cafe.	3600	in	ns	dns01.muumuu-domain.com.
086.cafe.	3600	in	ns	dns02.muumuu-domain.com.
089hqf4fmi2gcnret09fit6pqt208fta.cafe.	3600	in	nsec3	1 1 0 73 09SMQN7R802HN50E3LC6D9M2IPMN8Q8I NS DS RRSIG
089hqf4fmi2gcnret09fit6pqt208fta.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. rt40OlUXVuNFivPQKTWV9++B2tgdfmj88A6L28Npbv8Os+BkdsdbNUgor1lP5ueZZZIcznUv7cnjXiRFIAce2SFxMDy7mk1B6AJAwHvObHsLD6g0Q+0hIibnjNdTa3lA9uZaMYBz5hV0vfqGboh2iAQ07gbz29GUtdQZz8VyhVI=
09.cafe.	3600	in	ns	jasmine.ns.cloudflare.com.
09.cafe.	3600	in	ns	miles.ns.cloudflare.com.
0941.cafe.	3600	in	ns	a.ns14.net.
0941.cafe.	3600	in	ns	b.ns14.net.
0941.cafe.	3600	in	ns	c.ns14.net.
0941.cafe.	3600	in	ns	d.ns14.net.
09814.cafe.	3600	in	ns	n1.xundns.com.
09814.cafe.	3600	in	ns	n2.xundns.com.
09smqn7r802hn50e3lc6d9m2ipmn8q8i.cafe.	3600	in	nsec3	1 1 0 73 09VTS1Q4L23M82LUBQT32UICO4K3FHSV NS DS RRSIG
09smqn7r802hn50e3lc6d9m2ipmn8q8i.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. l7QxPhnpK0lPt31SwvOmfl3tWSeruhThE8fIDvABGSODE/l85fmUUqJkbac27RyYgu6mY3OOm7p9lmmPIyzCR7uHDIj1V9uq3gSF/o+k2ktKpX1ahPW/mzvam6AlaYrLhnaxnGIts86dTqdwEx1RTOWPLxzDHBygkTTW6aFnPfA=
09vts1q4l23m82lubqt32uico4k3fhsv.cafe.	3600	in	nsec3	1 1 0 73 0A9Q17IJIUBO520Q9PVIOQFAJPAJOCUR NS DS RRSIG
09vts1q4l23m82lubqt32uico4k3fhsv.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. Hv7vtMVbRTCXH1OFvrR02bEMBzFbtYwJjy+VjxLlpl4kHYBX5+lCXUbKKIJvFc76debPwArNbhA9B/BFqLxTRLfiNH78Wa9VdLFMttAA0zwtZkebVrhnkyx5+kJGM38nZZGUtJrnlgl7BitxYkoRhig2zGJkSk3zfKOqWZ6X/XU=
0a9q17ijiubo520q9pvioqfajpajocur.cafe.	3600	in	nsec3	1 1 0 73 0ABC9MEOU2LPPKHEO4416PH9D29O0F2G NS DS RRSIG
0a9q17ijiubo520q9pvioqfajpajocur.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. h/hkjyoiFc9IzwxN61aNfFWQaf8EAux0b4qypDWRmLSB/aX9573dOtYjgysC57LY76YwU3K66WgWRs01DZnlcuJU8NrO2KqFldiodcsNfVWMeOY57u8a+jXtSn9qU4tWHtxvN/hG+HFJHcfi1GkOyg22VopIdPL34xPSJ0AIer8=
0abc9meou2lppkheo4416ph9d29o0f2g.cafe.	3600	in	nsec3	1 1 0 73 0ABCI5B01CPBR1J5JI64A2HUQJBBDCVM NS DS RRSIG
0abc9meou2lppkheo4416ph9d29o0f2g.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. YLzjQk1T+D3hn3Ac4ww60725CkA/Lx6g1XHq3ZJgm8ZYetFLy5dZ9L68vV+9kVyoaCvYH6g9xXvuDAR7xkcOnrO7y3Jbywf2cH3mAAowTSpko/QnCiKQvPDeo+vB2kbH1ZkBSMw07BtRG0egIPegB8zRLS1hu1iLpyYD+ZKHv8o=
0abci5b01cpbr1j5ji64a2huqjbbdcvm.cafe.	3600	in	nsec3	1 1 0 73 0BOELDD0IPNQSBL3D743LUPBM92APMBM NS DS RRSIG
0abci5b01cpbr1j5ji64a2huqjbbdcvm.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. H8KXGUJAw6Sk7oA4l0dS3Xd6PubY///Vyc9Ss6gMStliC1woWUZ8UWaiHDPrIqxYKbqnJ4yB/0LIkHTlAq5IBQiU6HKfcWb5wtZJbGTz3iMztsBok6t3z3nVmTn0ibi5gv8WfMQisivMTsnBH4Q5lzn9eWiYC2D0RW7J7bufYLc=
0boeldd0ipnqsbl3d743lupbm92apmbm.cafe.	3600	in	nsec3	1 1 0 73 0C644F8EOK18B70D67HL34U5PA5P691C NS DS RRSIG
0boeldd0ipnqsbl3d743lupbm92apmbm.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. G38Jlb1wCFRj+osyaq5GLU/2zoHqP820ZR7qUGGNNzKk9A1KAf/qMauE6gslZePeICFMiVCqkaxZFFTZgkbmTzC4BT+uAWX7+hpreDh4a7eZ+QiNMmfp7n5VOAXL+dO2/CWkAd5L74evFdid/f5S9ba0mt2ehkwPMT0MKcQk85A=
