04129o0hhn5muf9uhhk52trtgrnqef60.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. H3zxRZIZAu9bOObMaaeRUcLAeMTaqnrSWR2HD1x/Uo8V3+nP4HfYgiOuYRpM4B8cEhm7LR14Lw+TxO2SsGkcFKZFZrSr4lHLzRJNFhWsRTBBjd9BBNrIumKWmDnntA0KdsIdsP951gmlKMeYR03ch1P1B19Lpl9dlLffxntBJ+w=
04701873.xn--q9jyb4c.	10800	in	ns	ns1.dyna-ns.net.
04701873.xn--q9jyb4c.	10800	in	ns	ns2.dyna-ns.net.
04jjkar1rji4j7l5eukag85ftt1qlcqi.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 04V55UA9126JUEFK03QBMQME2ME3FQ15 NS
04jjkar1rji4j7l5eukag85ftt1qlcqi.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. gJh/QOlduaYN7fxA4flG+Rsurm9fxh1Su9ZAFCZSRNUPv2uYwVXemqkr69+cz1YBulGcxoKT/1MKtX9JPM9D5XVRrB0ObbpaEIQg+G8dC5WphJolfjUTX/1aModIWQLZHgTsfnOJT5nFg+PMkMTah+yeocwW6fWpnry/Djdg9+A=
04v55ua9126juefk03qbmqme2me3fq15.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 058EK605KVTMM1J65D58L6TNCAD0BLHU NS
04v55ua9126juefk03qbmqme2me3fq15.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. mPcL3m6PL7HpJdRHX1Z/3dsGjZdl0008BMkQNp22K9OEKcMeNFxp6qgu1LgD01qCRnXouPpU2La4D3ZHYV4Aqzn7UIXIq+2eeKtEDhT2NT8Cn3+V/WFcdNwuhZwwxodA68lPRpFdgUXKhpatjaIIWXjrJvlrFD5seskyFr/ea3g=
0535358.xn--q9jyb4c.	10800	in	ns	ns1.dyna-ns.net.
0535358.xn--q9jyb4c.	10800	in	ns	ns2.dyna-ns.net.
058ek605kvtmm1j65d58l6tncad0blhu.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 05GA5E41M7O9HIRRE3QEIUDAN7F3KORL NS
058ek605kvtmm1j65d58l6tncad0blhu.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. D7GvjHgqZK5vc8MDPegbD87mba4L0PNflyA9bmiXOxYcL5yg5A00acBg9Z1ytvOaKImPU9z24sbd8vHAPGKsrQ45pILuePuopQYL2KBxrOcvGo4OeX8L07rpOYE4U7d7Dd7wU1WJeJgQ9IiOnwAvX5mF36fBkhf6AxuQ+FdZxRc=
05ga5e41m7o9hirre3qeiudan7f3korl.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 060QJS2T0LI1BOUPII2FDH2BNL420F40 NS
05ga5e41m7o9hirre3qeiudan7f3korl.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. lidjMDLYtEyxlbqXeioxThpWAWeZQ9x2xwVZGaRbbJWQ09D5+cOcpYyS2eZdCz+mXzvwMS1qwijA3NhYzMiEDvx5OibT3xHxfBmj3qYQSI3fymKxe2K0R6e8NDIEusHbkBdaXRSdE8AONjTfuypr2FK9Za6kg1/5/xMdfoD9ztU=
060qjs2t0li1boupii2fdh2bnl420f40.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 063ENVLJ1UINCCPRDHMJPI2SCS7RNEB5 NS
060qjs2t0li1boupii2fdh2bnl420f40.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. ZtkfMPtXX0FD0N8lmXFuMh0BQkIU4yZ5QRt01mvpX6ci4SKsbxMzTKGYSS6frkLrtxSe2uxQAo0jjUHjNe8OqQGb0/jK6mrZ6y4/LYYP/kiQrMlThEVhDSBDuPDXKyZ5WQVQs2vftVW7XT5wkfTt3i2Z9SOOvckdNIRCnE7xsfA=
063envlj1uinccprdhmjpi2scs7rneb5.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 068DNHIHE25M9QAG0F2ITEG74QN9M86O NS
063envlj1uinccprdhmjpi2scs7rneb5.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. Td38Bbf3LX0ddVoVolWlAB4cTBIwF9pnGCd5QnesaHa+QEJDuZrwKqWKhT7cKc43AZREyDdKO06Za1ilcg+CS2lS3xoEbFr14uN99q0+4iJCfQUbUeKPoGXeHdSXZPa/NR6BSWPPh3ImLIrKGeh9FepHCsxSrbVsGJ5B9l5P//o=
