06899.army.	3600	in	ns	ns2.dyna-ns.net.
06939.army.	3600	in	ns	ns1.dyna-ns.net.
06939.army.	3600	in	ns	ns2.dyna-ns.net.
07145.army.	3600	in	ns	ns1.dyna-ns.net.
07145.army.	3600	in	ns	ns2.dyna-ns.net.
07286.army.	3600	in	ns	ns1.netsto.net.
07286.army.	3600	in	ns	ns2.netsto.net.
07289.army.	3600	in	ns	n1.xundns.com.
07289.army.	3600	in	ns	n2.xundns.com.
07315.army.	3600	in	ns	ns1.dyna-ns.net.
07315.army.	3600	in	ns	ns2.dyna-ns.net.
07441.army.	3600	in	ns	ns1.dyna-ns.net.
07441.army.	3600	in	ns	ns2.dyna-ns.net.
07446.army.	3600	in	ns	ns1.dyna-ns.net.
07446.army.	3600	in	ns	ns2.dyna-ns.net.
075992.army.	3600	in	ns	ns1.dyna-ns.net.
075992.army.	3600	in	ns	ns2.dyna-ns.net.
07656.army.	3600	in	ns	ns1.dyna-ns.net.
07656.army.	3600	in	ns	ns2.dyna-ns.net.
07923.army.	3600	in	ns	ns1.dyna-ns.net.
07923.army.	3600	in	ns	ns2.dyna-ns.net.
07965.army.	3600	in	ns	ns1.netsto.net.
07965.army.	3600	in	ns	ns2.netsto.net.
080380.army.	3600	in	ns	ns1.dyna-ns.net.
080380.army.	3600	in	ns	ns2.dyna-ns.net.
08122.army.	3600	in	ns	n1.xundns.com.
08122.army.	3600	in	ns	n2.xundns.com.
081556.army.	3600	in	ns	ns1.dyna-ns.net.
081556.army.	3600	in	ns	ns2.dyna-ns.net.
08273.army.	3600	in	ns	ns1.dyna-ns.net.
08273.army.	3600	in	ns	ns2.dyna-ns.net.
082960.army.	3600	in	ns	ns1.dyna-ns.net.
082960.army.	3600	in	ns	ns2.dyna-ns.net.
08395.army.	3600	in	ns	ns1.netsto.net.
08395.army.	3600	in	ns	ns2.netsto.net.
08597.army.	3600	in	ns	ns1.netsto.net.
08597.army.	3600	in	ns	ns2.netsto.net.
08606.army.	3600	in	ns	n1.xundns.com.
08606.army.	3600	in	ns	n2.xundns.com.
08625.army.	3600	in	ns	ns1.netsto.net.
08625.army.	3600	in	ns	ns2.netsto.net.
08748.army.	3600	in	ns	ns1.dyna-ns.net.
08748.army.	3600	in	ns	ns2.dyna-ns.net.
08756.army.	3600	in	ns	ns1.dyna-ns.net.
08756.army.	3600	in	ns	ns2.dyna-ns.net.
08790.army.	3600	in	ns	ns1.dyna-ns.net.
08790.army.	3600	in	ns	ns2.dyna-ns.net.
08827.army.	3600	in	ns	ns7.alidns.com.
08827.army.	3600	in	ns	ns8.alidns.com.
08953.army.	3600	in	ns	n1.xundns.com.
08953.army.	3600	in	ns	n2.xundns.com.
08967.army.	3600	in	ns	ns1.dyna-ns.net.
08967.army.	3600	in	ns	ns2.dyna-ns.net.
08998.army.	3600	in	ns	ns1.dyna-ns.net.
08998.army.	3600	in	ns	ns2.dyna-ns.net.
09021.army.	3600	in	ns	ns1.dyna-ns.net.
09021.army.	3600	in	ns	ns2.dyna-ns.net.
09059.army.	3600	in	ns	n1.xundns.com.
09059.army.	3600	in	ns	n2.xundns.com.
09162.army.	3600	in	ns	ns1.dyna-ns.net.
09162.army.	3600	in	ns	ns2.dyna-ns.net.
095141.army.	3600	in	ns	ns1.dyna-ns.net.
095141.army.	3600	in	ns	ns2.dyna-ns.net.
09544.army.	3600	in	ns	ns1.dnsip.com.
09544.army.	3600	in	ns	ns2.dnsip.com.
09688.army.	3600	in	ns	ns1.dyna-ns.net.
09688.army.	3600	in	ns	ns2.dyna-ns.net.
09762.army.	3600	in	ns	ns1.dyna-ns.net.
09762.army.	3600	in	ns	ns2.dyna-ns.net.
097843.army.	3600	in	ns	ns1.dyna-ns.net.
097843.army.	3600	in	ns	ns2.dyna-ns.net.
09952.army.	3600	in	ns	ns7.alidns.com.
09952.army.	3600	in	ns	ns8.alidns.com.
09m2j5uuo7ord1hgoqnepvpnk3luar5e.army.	3600	in	nsec3	1 1 0 73 0C55DM3ABVLQGRHVOVKUEJIUA8L4SAKT NS DS RRSIG
09m2j5uuo7ord1hgoqnepvpnk3luar5e.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. sHu+jS0g3JU7sCLEmGaGR5lK2u2bflZvuCyrHkFGoEuHAKhk4VipdVez3lDlpIkKTC6P/lZhK0KmaAnzYiZVZVJqepwTVA76o++PZHPzQsbfT9p/Lr0WP9Pwo5y8dvuYnKr5IoCJnXTDSpLr9KDYtknllfORHkx2zef37gM1x6M=
0c55dm3abvlqgrhvovkuejiua8l4sakt.army.	3600	in	nsec3	1 1 0 73 0DRTI1TSG7IG853N6VUT5A8J5N2TTMRV NS DS RRSIG
0c55dm3abvlqgrhvovkuejiua8l4sakt.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. nwQOO/D6DVLErr9JSZ0+YZhLjraxizIVmEQDHLAg8vd6Vs5FGT8Hc5pKMGu+UZHRU9vHm1I/ho5ZcfIdpxXRRaQYLBEhjNhcTz/dP/SHTlE/aZNZiNN9gAI9o4sexV4C0R7hJnDoS+j1z/NT3Wr00534ExV0MYEnsYM09fBF7dg=
0drti1tsg7ig853n6vut5a8j5n2ttmrv.army.	3600	in	nsec3	1 1 0 73 0FMG10C29E4CUIKCRKK9QKB2STDE7F8A NS DS RRSIG
0drti1tsg7ig853n6vut5a8j5n2ttmrv.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. cW+wRaOAw3eigT5i4x9tHJh1OaHS4hjPaF04X8NimxsOEqJUV7wQXROHIT65CzZhHOY3FKRhttcXJkD9/EOlPaFIx/wOrtBANWFuy0DI1d2xAUqDr14TtndzKNLzszOfgJlClfNbyv/CwqBx742jWGFLpp7HYekjl9YxT8BNWFo=
0fmg10c29e4cuikcrkk9qkb2stde7f8a.army.	3600	in	nsec3	1 1 0 73 0MBJFOV8OU6PP6F1340GJHSKK6O48QCQ NS DS RRSIG
0fmg10c29e4cuikcrkk9qkb2stde7f8a.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. AIDsADhH2aiULuSCKUqPT0iNKpSPj6Iyy9IU1FYsNmHRVog94a6+WnmP4FRKyEzZPRmlbkWS5TOMrnHIfQjWSZtNUNQKqaqff+Z5TeM/sMHb2UmMFl16O2bx/TmllZPGguhuMWl1r0BF9drIXnfX0NwEyq3NwMUykHrV8XrcZFE=
0mbjfov8ou6pp6f1340gjhskk6o48qcq.army.	3600	in	nsec3	1 1 0 73 0NT4T8HKN9H0A1MR45HLTIKNOEARPEQP NS DS RRSIG
0mbjfov8ou6pp6f1340gjhskk6o48qcq.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. jdKVMzM3Cede+tqwajj3yL/h+hjwCUwWiiq1hyZ62icjdsenvx5T8KR9gt4GbsH+2UJr/SVPLDxSx95LSlB4qFMv3iIkcsFYElN2yhaAuFc+w3co18z+JlSpvDhpbt6uAl3hKU7Ob5cVDjUBkxvwrMZKCMi5DRP/fLL9QSObWWU=
0nt4t8hkn9h0a1mr45hltiknoearpeqp.army.	3600	in	nsec3	1 1 0 73 0QCH65TFKTS7M0PP9HO75R4M0BAJC2GE NS DS RRSIG
0nt4t8hkn9h0a1mr45hltiknoearpeqp.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. LrxPpBJ+YNKzqh4A6S47VkoxEqC30I87fIG76lBViqJnsumRIsm5CbgRC0tlNgf3cr5HVFde2Ep2xHRCwkwPMSJEc54leSS4b1hr5SKeOJ3DZzAui6e95r67kjpopuSrkpzk9kbyQFqhk3F8FdYDOMJDXjwkdKXALBLpjEImtzo=
0qch65tfkts7m0pp9ho75r4m0bajc2ge.army.	3600	in	nsec3	1 1 0 73 0QFRESBOFGCNJ3M2AK2SSJS6MQO1UREI NS DS RRSIG
0qch65tfkts7m0pp9ho75r4m0bajc2ge.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. RAKDTgeaNvPDUM/IrYs6oT1S5DjPdi5y8X8fBUTPqLE8i3k4rntDh0qeux699p1Nyci03+VeR/9eaQ4KJ5N/iSLb///fCf+dSzJtGt+rstUC8RBqiZwSP1sVHlkH+7lM1oCR1lnM1qyFgB17Q5Lhb6ZFNk1ZrKWndHVq/NzAwys=
0qfresbofgcnj3m2ak2ssjs6mqo1urei.army.	3600	in	nsec3	1 1 0 73 0RH1LAPAG5SEU0SESBT16QQGUFJBL28M NS DS RRSIG
0qfresbofgcnj3m2ak2ssjs6mqo1urei.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. SoZr8vO0C4QWoWps+5aAX8CZloouGM1XIcuZ5HozQP2OtS0hqAg3ALFHmh5SkxuqQ9Q0wiWb/Jdt++IQaPzmDXeSTyB9L3/018QS6hKZTwaZIWXoX96mrkz5Wqcfg0Hsv1Tm3qocCrRYhELwO7iLfaf7rHs1/VP9CbRgTaA6GyI=
0rh1lapag5seu0sesbt16qqgufjbl28m.army.	3600	in	nsec3	1 1 0 73 0S2P0R3AJR0ALOCN04RAIUO12APGKVDS NS DS RRSIG
0rh1lapag5seu0sesbt16qqgufjbl28m.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. qVZbcimflbncXh+FBQ/KUUBy4pprHry4c7yoj1BjFhxg3Ks9yj2H8y2aPiWpJF6e/A5OlQ+4GYkU4qDj+nZRlpL5MwkmkqvnS46j3w4Ohrng0VUQmajuVLAIs1PL5wpNkR4umt2yhV/qp9WF2Otr6uus+gyYWNqFU+pBvlFK0do=
0s2p0r3ajr0alocn04raiuo12apgkvds.army.	3600	in	nsec3	1 1 0 73 0TCPLLITKC4EJJ209ALD03AQVS6DSIAL NS DS RRSIG
0s2p0r3ajr0alocn04raiuo12apgkvds.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. iR7Zc6znQwEZlNOzTVe3mOXUl9HUT0VC5Es3Ko+Y+Psc3wZDbaIQyYkR0XZMrGRsEA6xE4FOp1JpnGmlZ1P3xiypykeQGC33n/J52n8ZtDAOV4x02rdIF6Yv0fSghwCnbXTaF/82y3Oc7e946ebEM/b2d727j1Pv8QBbNaGIFdc=
0tcpllitkc4ejj209ald03aqvs6dsial.army.	3600	in	nsec3	1 1 0 73 0UCV1HAVS0SEI1C2KBEDTV6RB86GTBV5 NS DS RRSIG
0tcpllitkc4ejj209ald03aqvs6dsial.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. A5UY/kZDrp5v/J/D0pb28+cImo5C9/0wUGW0dSLePQR+pi1f6X0ziaHqCocjXPp05v5yBHVau2TGDOYzOR4NozALO+t7HScS7oQheh1ZEi0iRaEYXG2b7VFj7yzUgK7e1O3n2q1P4j3W9Bd+UNiZxD2Xme+/SQvBixgFM4Q/pvU=
